sample_id,scene,timestamp,scene_cav_set
236,2021_08_21_17_30_41,000317,2488|2497|2506
237,2021_08_21_17_30_41,000319,2488|2497|2506
238,2021_08_21_17_30_41,000321,2488|2497|2506
239,2021_08_21_17_30_41,000323,2488|2497|2506
240,2021_08_21_17_30_41,000325,2488|2497|2506
241,2021_08_21_17_30_41,000327,2488|2497|2506
242,2021_08_21_17_30_41,000329,2488|2497|2506
243,2021_08_21_17_30_41,000331,2488|2497|2506
244,2021_08_21_17_30_41,000333,2488|2497|2506
245,2021_08_21_17_30_41,000335,2488|2497|2506
246,2021_08_21_17_30_41,000337,2488|2497|2506
247,2021_08_21_17_30_41,000339,2488|2497|2506
248,2021_08_21_17_30_41,000341,2488|2497|2506
249,2021_08_21_17_30_41,000343,2488|2497|2506
250,2021_08_21_17_30_41,000345,2488|2497|2506
251,2021_08_21_17_30_41,000347,2488|2497|2506
252,2021_08_21_17_30_41,000349,2488|2497|2506
253,2021_08_21_17_30_41,000351,2488|2497|2506
254,2021_08_21_17_30_41,000353,2488|2497|2506
255,2021_08_21_17_30_41,000355,2488|2497|2506
256,2021_08_21_17_30_41,000357,2488|2497|2506
257,2021_08_21_17_30_41,000359,2488|2497|2506
258,2021_08_21_17_30_41,000361,2488|2497|2506
259,2021_08_21_17_30_41,000363,2488|2497|2506
260,2021_08_21_17_30_41,000365,2488|2497|2506
261,2021_08_21_17_30_41,000367,2488|2497|2506
262,2021_08_21_17_30_41,000369,2488|2497|2506
263,2021_08_21_17_30_41,000371,2488|2497|2506
264,2021_08_21_17_30_41,000373,2488|2497|2506
265,2021_08_21_17_30_41,000375,2488|2497|2506
266,2021_08_21_17_30_41,000377,2488|2497|2506
267,2021_08_21_17_30_41,000379,2488|2497|2506
268,2021_08_21_17_30_41,000381,2488|2497|2506
269,2021_08_22_13_37_16,000068,479|488
270,2021_08_22_13_37_16,000070,479|488
271,2021_08_22_13_37_16,000072,479|488
272,2021_08_22_13_37_16,000074,479|488
273,2021_08_22_13_37_16,000076,479|488
274,2021_08_22_13_37_16,000078,479|488
275,2021_08_22_13_37_16,000080,479|488
276,2021_08_22_13_37_16,000082,479|488
277,2021_08_22_13_37_16,000084,479|488
278,2021_08_22_13_37_16,000086,479|488
279,2021_08_22_13_37_16,000088,479|488
280,2021_08_22_13_37_16,000090,479|488
281,2021_08_22_13_37_16,000092,479|488
282,2021_08_22_13_37_16,000094,479|488
283,2021_08_22_13_37_16,000096,479|488
284,2021_08_22_13_37_16,000098,479|488
285,2021_08_22_13_37_16,000100,479|488
286,2021_08_22_13_37_16,000102,479|488
287,2021_08_22_13_37_16,000104,479|488
288,2021_08_22_13_37_16,000106,479|488
289,2021_08_22_13_37_16,000108,479|488
290,2021_08_22_13_37_16,000110,479|488
291,2021_08_22_13_37_16,000112,479|488
292,2021_08_22_13_37_16,000114,479|488
293,2021_08_22_13_37_16,000116,479|488
294,2021_08_22_13_37_16,000118,479|488
295,2021_08_22_13_37_16,000120,479|488
296,2021_08_22_13_37_16,000122,479|488
297,2021_08_22_13_37_16,000124,479|488
298,2021_08_22_13_37_16,000126,479|488
299,2021_08_22_13_37_16,000128,479|488
300,2021_08_22_13_37_16,000130,479|488
301,2021_08_22_13_37_16,000132,479|488
302,2021_08_22_13_37_16,000134,479|488
303,2021_08_22_13_37_16,000136,479|488
304,2021_08_22_13_37_16,000138,479|488
305,2021_08_22_13_37_16,000140,479|488
306,2021_08_22_13_37_16,000142,479|488
307,2021_08_22_13_37_16,000144,479|488
308,2021_08_22_13_37_16,000146,479|488
309,2021_08_22_13_37_16,000148,479|488
310,2021_08_22_13_37_16,000150,479|488
311,2021_08_22_13_37_16,000152,479|488
312,2021_08_22_13_37_16,000154,479|488
313,2021_08_22_13_37_16,000156,479|488
314,2021_08_22_13_37_16,000158,479|488
315,2021_08_22_13_37_16,000160,479|488
316,2021_08_22_13_37_16,000162,479|488
317,2021_08_22_13_37_16,000164,479|488
318,2021_08_22_13_37_16,000166,479|488
319,2021_08_22_13_37_16,000168,479|488
320,2021_08_22_13_37_16,000170,479|488
321,2021_08_22_13_37_16,000172,479|488
322,2021_08_22_13_37_16,000174,479|488
323,2021_08_22_13_37_16,000176,479|488
324,2021_08_22_13_37_16,000178,479|488
325,2021_08_22_13_37_16,000180,479|488
326,2021_08_22_13_37_16,000182,479|488
327,2021_08_22_13_37_16,000184,479|488
328,2021_08_22_13_37_16,000186,479|488
329,2021_08_22_13_37_16,000188,479|488
330,2021_08_22_13_37_16,000190,479|488
331,2021_08_22_13_37_16,000192,479|488
332,2021_08_22_13_37_16,000194,479|488
333,2021_08_22_13_37_16,000196,479|488
334,2021_08_22_13_37_16,000198,479|488
335,2021_08_22_13_37_16,000200,479|488
336,2021_08_22_13_37_16,000202,479|488
337,2021_08_22_13_37_16,000204,479|488
338,2021_08_22_13_37_16,000206,479|488
339,2021_08_22_13_37_16,000208,479|488
340,2021_08_22_13_37_16,000210,479|488
341,2021_08_22_13_37_16,000212,479|488
342,2021_08_22_13_37_16,000214,479|488
343,2021_08_22_13_37_16,000216,479|488
344,2021_08_22_13_37_16,000218,479|488
345,2021_08_22_13_37_16,000220,479|488
346,2021_08_22_13_37_16,000222,479|488
347,2021_08_22_13_37_16,000224,479|488
348,2021_08_22_13_37_16,000226,479|488
349,2021_08_22_13_37_16,000228,479|488
350,2021_08_22_13_37_16,000230,479|488
351,2021_08_22_13_37_16,000232,479|488
352,2021_08_22_13_37_16,000234,479|488
353,2021_08_22_13_37_16,000236,479|488
354,2021_08_22_13_37_16,000238,479|488
355,2021_08_22_13_37_16,000240,479|488
356,2021_08_22_13_37_16,000242,479|488
357,2021_08_22_13_37_16,000244,479|488
358,2021_08_22_13_37_16,000246,479|488
359,2021_08_22_13_37_16,000248,479|488
360,2021_08_22_13_37_16,000250,479|488
361,2021_08_22_13_37_16,000252,479|488
362,2021_08_22_13_37_16,000254,479|488
363,2021_08_22_13_37_16,000256,479|488
364,2021_08_22_13_37_16,000258,479|488
365,2021_08_22_13_37_16,000260,479|488
366,2021_08_22_13_37_16,000262,479|488
367,2021_08_22_13_37_16,000264,479|488
368,2021_08_22_13_37_16,000266,479|488
369,2021_08_22_13_37_16,000268,479|488
370,2021_08_22_13_37_16,000270,479|488
371,2021_08_22_13_37_16,000272,479|488
372,2021_08_22_13_37_16,000274,479|488
373,2021_08_22_13_37_16,000276,479|488
374,2021_08_22_13_37_16,000278,479|488
375,2021_08_22_13_37_16,000280,479|488
376,2021_08_22_13_37_16,000282,479|488
377,2021_08_22_13_37_16,000284,479|488
378,2021_08_22_13_37_16,000286,479|488
379,2021_08_22_13_37_16,000288,479|488
380,2021_08_22_13_37_16,000290,479|488
381,2021_08_22_13_37_16,000292,479|488
382,2021_08_22_13_37_16,000294,479|488
383,2021_08_22_13_37_16,000296,479|488
384,2021_08_22_13_37_16,000298,479|488
385,2021_08_22_13_37_16,000300,479|488
386,2021_08_22_13_37_16,000302,479|488
387,2021_08_22_13_37_16,000304,479|488
388,2021_08_22_13_37_16,000306,479|488
389,2021_08_22_13_37_16,000308,479|488
390,2021_08_22_13_37_16,000310,479|488
391,2021_08_22_13_37_16,000312,479|488
392,2021_08_22_13_37_16,000314,479|488
393,2021_08_22_13_37_16,000316,479|488
394,2021_08_22_13_37_16,000318,479|488
395,2021_08_22_13_37_16,000320,479|488
396,2021_08_22_13_37_16,000322,479|488
397,2021_08_22_13_37_16,000324,479|488
398,2021_08_22_13_37_16,000326,479|488
399,2021_08_22_13_37_16,000328,479|488
400,2021_08_22_13_37_16,000330,479|488
401,2021_08_22_13_37_16,000332,479|488
402,2021_08_22_13_37_16,000334,479|488
403,2021_08_22_13_37_16,000336,479|488
404,2021_08_22_22_01_17,000068,1715|1724
405,2021_08_22_22_01_17,000070,1715|1724
406,2021_08_22_22_01_17,000072,1715|1724
407,2021_08_22_22_01_17,000074,1715|1724
408,2021_08_22_22_01_17,000076,1715|1724
409,2021_08_22_22_01_17,000078,1715|1724
410,2021_08_22_22_01_17,000080,1715|1724
411,2021_08_22_22_01_17,000082,1715|1724
412,2021_08_22_22_01_17,000084,1715|1724
413,2021_08_22_22_01_17,000086,1715|1724
414,2021_08_22_22_01_17,000088,1715|1724
415,2021_08_22_22_01_17,000090,1715|1724
416,2021_08_22_22_01_17,000092,1715|1724
417,2021_08_22_22_01_17,000094,1715|1724
418,2021_08_22_22_01_17,000096,1715|1724
419,2021_08_22_22_01_17,000098,1715|1724
420,2021_08_22_22_01_17,000100,1715|1724
421,2021_08_22_22_01_17,000102,1715|1724
422,2021_08_22_22_01_17,000104,1715|1724
423,2021_08_22_22_01_17,000106,1715|1724
424,2021_08_22_22_01_17,000108,1715|1724
425,2021_08_22_22_01_17,000110,1715|1724
426,2021_08_22_22_01_17,000112,1715|1724
427,2021_08_22_22_01_17,000114,1715|1724
428,2021_08_22_22_01_17,000116,1715|1724
429,2021_08_22_22_01_17,000118,1715|1724
430,2021_08_22_22_01_17,000120,1715|1724
431,2021_08_22_22_01_17,000122,1715|1724
432,2021_08_22_22_01_17,000124,1715|1724
433,2021_08_22_22_01_17,000126,1715|1724
434,2021_08_22_22_01_17,000128,1715|1724
435,2021_08_22_22_01_17,000130,1715|1724
436,2021_08_22_22_01_17,000132,1715|1724
437,2021_08_22_22_01_17,000134,1715|1724
438,2021_08_22_22_01_17,000136,1715|1724
439,2021_08_22_22_01_17,000138,1715|1724
440,2021_08_22_22_01_17,000140,1715|1724
441,2021_08_22_22_01_17,000142,1715|1724
442,2021_08_22_22_01_17,000144,1715|1724
443,2021_08_22_22_01_17,000146,1715|1724
444,2021_08_22_22_01_17,000148,1715|1724
445,2021_08_22_22_01_17,000150,1715|1724
446,2021_08_22_22_01_17,000152,1715|1724
447,2021_08_22_22_01_17,000154,1715|1724
448,2021_08_22_22_01_17,000156,1715|1724
449,2021_08_22_22_01_17,000158,1715|1724
450,2021_08_22_22_01_17,000160,1715|1724
451,2021_08_22_22_01_17,000162,1715|1724
452,2021_08_22_22_01_17,000164,1715|1724
453,2021_08_22_22_01_17,000166,1715|1724
454,2021_08_22_22_01_17,000168,1715|1724
455,2021_08_22_22_01_17,000170,1715|1724
456,2021_08_22_22_01_17,000172,1715|1724
457,2021_08_22_22_01_17,000174,1715|1724
458,2021_08_22_22_01_17,000176,1715|1724
459,2021_08_22_22_01_17,000178,1715|1724
460,2021_08_22_22_01_17,000180,1715|1724
461,2021_08_22_22_01_17,000182,1715|1724
462,2021_08_22_22_01_17,000184,1715|1724
463,2021_08_22_22_01_17,000186,1715|1724
464,2021_08_22_22_01_17,000188,1715|1724
465,2021_08_22_22_01_17,000190,1715|1724
466,2021_08_22_22_01_17,000192,1715|1724
467,2021_08_22_22_01_17,000194,1715|1724
468,2021_08_22_22_01_17,000196,1715|1724
469,2021_08_22_22_01_17,000198,1715|1724
470,2021_08_22_22_01_17,000200,1715|1724
471,2021_08_22_22_01_17,000202,1715|1724
472,2021_08_22_22_01_17,000204,1715|1724
473,2021_08_22_22_01_17,000206,1715|1724
474,2021_08_22_22_01_17,000208,1715|1724
475,2021_08_22_22_01_17,000210,1715|1724
476,2021_08_22_22_01_17,000212,1715|1724
477,2021_08_22_22_01_17,000214,1715|1724
478,2021_08_22_22_01_17,000216,1715|1724
479,2021_08_22_22_01_17,000218,1715|1724
480,2021_08_22_22_01_17,000220,1715|1724
481,2021_08_22_22_01_17,000222,1715|1724
482,2021_08_22_22_01_17,000224,1715|1724
483,2021_08_22_22_01_17,000226,1715|1724
484,2021_08_22_22_01_17,000228,1715|1724
485,2021_08_22_22_01_17,000230,1715|1724
486,2021_08_22_22_01_17,000232,1715|1724
487,2021_08_22_22_01_17,000234,1715|1724
488,2021_08_22_22_01_17,000236,1715|1724
489,2021_08_22_22_01_17,000238,1715|1724
490,2021_08_22_22_01_17,000240,1715|1724
491,2021_08_22_22_01_17,000242,1715|1724
492,2021_08_22_22_01_17,000244,1715|1724
493,2021_08_22_22_01_17,000246,1715|1724
494,2021_08_22_22_01_17,000248,1715|1724
495,2021_08_22_22_01_17,000250,1715|1724
496,2021_08_22_22_01_17,000252,1715|1724
497,2021_08_22_22_01_17,000254,1715|1724
498,2021_08_22_22_01_17,000256,1715|1724
499,2021_08_22_22_01_17,000258,1715|1724
500,2021_08_22_22_01_17,000260,1715|1724
501,2021_08_22_22_01_17,000262,1715|1724
502,2021_08_22_22_01_17,000264,1715|1724
503,2021_08_22_22_01_17,000266,1715|1724
504,2021_08_22_22_01_17,000268,1715|1724
505,2021_08_22_22_01_17,000270,1715|1724
506,2021_08_22_22_01_17,000272,1715|1724
507,2021_08_22_22_01_17,000274,1715|1724
508,2021_08_22_22_01_17,000276,1715|1724
509,2021_08_22_22_01_17,000278,1715|1724
510,2021_08_22_22_01_17,000280,1715|1724
511,2021_08_22_22_01_17,000282,1715|1724
512,2021_08_22_22_01_17,000284,1715|1724
513,2021_08_22_22_01_17,000286,1715|1724
514,2021_08_22_22_01_17,000288,1715|1724
515,2021_08_22_22_01_17,000290,1715|1724
516,2021_08_22_22_01_17,000292,1715|1724
517,2021_08_22_22_01_17,000294,1715|1724
518,2021_08_22_22_01_17,000296,1715|1724
519,2021_08_22_22_01_17,000298,1715|1724
520,2021_08_22_22_01_17,000300,1715|1724
521,2021_08_22_22_01_17,000302,1715|1724
522,2021_08_22_22_01_17,000304,1715|1724
523,2021_08_22_22_01_17,000306,1715|1724
524,2021_08_22_22_01_17,000308,1715|1724
525,2021_08_22_22_01_17,000310,1715|1724
526,2021_08_22_22_01_17,000312,1715|1724
527,2021_08_22_22_01_17,000314,1715|1724
528,2021_08_22_22_01_17,000316,1715|1724
529,2021_08_22_22_01_17,000318,1715|1724
530,2021_08_22_22_01_17,000320,1715|1724
