frame,ego70_pcd_num_points,ego70_pcd_mean_range,ego70_pcd_max_range,ego70_pcd_std_range,ego70_pcd_near_20m,ego70_pcd_mid_20_50m,ego70_pcd_far_50_80m,ego70_pcd_very_far_80m,ego70_pcd_front_points,ego70_pcd_back_points,ego70_pcd_left_points,ego70_pcd_right_points,ego70_pcd_front_far_30m,ego70_pcd_front_far_50m,ego70_pcd_density_0_20,ego70_pcd_density_20_50,ego70_pcd_density_50_80
29,53993,11.64905071258545,73.8283462524414,9.661840438842773,46205,7391,397,0,26026,27967,27237,26756,2410,213,36.76877072780512,1.1202992232306652,0.0324023140551192
30,53984,11.595111846923828,71.93799591064453,9.595739364624023,46220,7383,381,0,25909,28075,27198,26786,2375,215,36.780707348537014,1.1190866141404412,0.03109642734257032
31,53886,11.586803436279297,71.32801055908203,9.650997161865234,46082,7411,393,0,25734,28152,27171,26715,2375,216,36.67089043780361,1.1233307459562252,0.03207584237698198
32,53797,11.546331405639648,70.95597839355469,9.626788139343262,46050,7334,413,0,25819,27978,27059,26738,2345,241,36.6454256469089,1.1116593834628195,0.03370820076766809
33,53760,11.540395736694336,70.63225555419922,9.688028335571289,45960,7386,414,0,25799,27961,27021,26739,2364,236,36.57380592251755,1.1195413425492753,0.03378981868720239
34,53637,11.49348258972168,70.72227478027344,9.707481384277344,45911,7290,436,0,25610,28027,26981,26656,2322,253,36.534812961460034,1.1049900334665876,0.03558541291695711
35,53752,11.473613739013672,70.57148742675781,9.777290344238281,45959,7356,437,0,25764,27988,27056,26696,2381,260,36.57301014780209,1.1149940584609355,0.03566703083649141
36,53630,11.42619800567627,71.44286346435547,9.790467262268066,45943,7245,442,0,25698,27932,26961,26669,2401,248,36.560277752354736,1.0981691073340778,0.036075120434162944
37,53679,11.439083099365234,71.91739654541016,9.819561958312988,45929,7321,429,0,25759,27920,26956,26723,2360,235,36.549136906338305,1.1096888936912055,0.03501408748021698
38,53733,11.409838676452637,76.88688659667969,9.795369148254395,45960,7347,426,0,25821,27912,27021,26712,2380,246,36.57380592251755,1.1136298732344334,0.03476923372161406
39,53681,11.384511947631836,76.10377502441406,9.779818534851074,45804,7474,403,0,25808,27873,26920,26761,2404,252,36.44966506690587,1.132880042541739,0.032892021572325035
40,53695,11.387958526611328,76.33514404296875,9.792811393737793,45783,7504,408,0,25752,27943,26923,26772,2414,261,36.43295379788122,1.1374273266300787,0.03330011116999656
41,53701,11.410502433776855,76.76598358154297,9.868927955627441,45768,7505,428,0,25861,27840,26969,26732,2443,282,36.42101717714933,1.1375789027663568,0.03493246956068267
42,53475,11.415773391723633,77.09598541259766,9.876260757446289,45663,7401,411,0,25685,27790,26824,26651,2395,265,36.33746083202608,1.121814984593445,0.03354496492859948
43,53606,11.469555854797363,76.50131225585938,9.889761924743652,45744,7442,420,0,25848,27758,26875,26731,2453,292,36.4019185839783,1.128029606180843,0.034279526204408224
44,53487,11.52309513092041,76.0660629272461,9.937020301818848,45594,7468,425,0,25915,27572,26794,26693,2412,304,36.28255237665938,1.131970585724071,0.034687615802079755
45,53292,11.582145690917969,76.18850708007812,9.968807220458984,45294,7557,441,0,25821,27471,26679,26613,2408,309,36.04381996202154,1.1454608618528126,0.035993502514628635
46,53565,11.644929885864258,76.98357391357422,10.030451774597168,45449,7665,451,0,25907,27658,26824,26741,2418,295,36.16716504291775,1.161831084570836,0.03680968170997169
47,53472,11.740103721618652,80.44972229003906,10.158768653869629,45235,7757,471,9,25920,27552,26812,26660,2347,326,35.99686925380943,1.1757760891084117,0.0384420401006578
48,53481,11.916787147521973,79.8291015625,10.43028736114502,45147,7782,552,0,26000,27481,26709,26772,2381,360,35.926841078848994,1.1795654925153616,0.04505309158293652
49,53514,11.955387115478516,79.22380065917969,10.40031623840332,45110,7845,559,0,26161,27353,26757,26757,2339,370,35.89739741437699,1.1891147891008753,0.045624417019676664
50,53628,12.058185577392578,78.6585922241211,10.436473846435547,45123,7908,597,0,26240,27388,26790,26838,2297,373,35.907742485677964,1.198664085686389,0.04872589796198026
51,53535,12.098456382751465,78.04739379882812,10.327083587646484,44945,8049,541,0,26172,27363,26723,26812,2243,311,35.766094586326176,1.2200363209015863,0.044155294468059166
52,53571,12.140521049499512,77.3516616821289,10.238727569580078,44857,8165,549,0,26230,27341,26776,26795,2208,313,35.69606641136575,1.2376191527098337,0.04480823782433361
53,53583,12.197346687316895,76.93672180175781,10.155695915222168,44748,8311,524,0,26293,27290,26769,26814,2108,317,35.60932696738066,1.2597492686064211,0.042767789835975976
54,53302,12.230658531188965,76.34567260742188,10.108866691589355,44381,8422,499,0,26236,27066,26647,26655,2023,294,35.317277646807035,1.2765742197332786,0.040727341847618344
55,53412,12.264484405517578,76.02218627929688,10.170687675476074,44479,8384,549,0,26303,27109,26694,26718,1983,332,35.39526356892206,1.270814326554715,0.04480823782433361
56,53687,12.494162559509277,75.60897064208984,10.647708892822266,44427,8584,676,0,26576,27111,26899,26788,2166,453,35.35388328371817,1.301129553810314,0.05517371360519038
57,53658,12.49067497253418,75.33073425292969,10.653759956359863,44347,8643,668,0,26642,27016,26832,26826,2043,462,35.29022130648141,1.3100725458507156,0.05452077024891594
58,53522,12.502137184143066,74.8154296875,10.700152397155762,44189,8672,661,0,26673,26849,26785,26737,1995,471,35.164488901438816,1.3144682538027777,0.053949444812175805
59,53593,12.512446403503418,74.47698211669922,10.757026672363281,44175,8736,682,0,26744,26849,26823,26770,2010,491,35.153348055422384,1.3241691265245692,0.055663421122396216
60,53737,12.579933166503906,74.10505676269531,10.875777244567871,44010,9014,713,0,26838,26899,26870,26867,2098,504,35.02204522737157,1.366307292409852,0.05819357662795968
61,53588,12.536026954650879,73.91344451904297,10.928872108459473,43879,8947,762,0,26819,26769,26722,26866,1965,528,34.91779873964638,1.3561516912792264,0.06219285468514064
62,53536,12.493266105651855,73.47410583496094,10.892504692077637,43733,9004,799,0,26820,26716,26727,26809,1872,512,34.80161563118929,1.3647915310470722,0.06521271770790993
63,53656,12.531561851501465,73.18263244628906,11.040827751159668,43650,9117,889,0,26912,26744,26775,26881,1838,561,34.735566329806154,1.3819196344464855,0.07255833046599741
64,53719,12.484298706054688,73.61631774902344,10.993366241455078,43767,9036,916,0,27042,26677,26830,26889,1838,562,34.828671971514915,1.3696419674079678,0.07476201429342365
65,53712,12.523402214050293,73.6177749633789,11.057616233825684,43671,9087,954,0,27071,26641,26812,26900,1825,582,34.75227759883081,1.3773723503581456,0.07786349523572725
66,53717,12.523483276367188,73.01580047607422,11.050506591796875,43683,9085,949,0,27139,26578,26888,26829,1905,582,34.76182689541632,1.3770691980855898,0.07745540563805572
67,53867,12.542853355407715,72.46927642822266,11.049914360046387,43747,9163,957,0,27101,26766,26995,26872,1970,602,34.812756477205724,1.3888921367152733,0.07810834899433017
68,53700,12.533907890319824,72.31822204589844,11.027795791625977,43567,9173,960,0,27003,26697,26912,26788,2033,601,34.66951702842302,1.3904078980780534,0.07835320275293309
69,53758,12.539261817932129,72.00144958496094,11.03049373626709,43723,9067,968,0,26993,26765,26928,26830,2101,634,34.7936578840347,1.3743408276325857,0.07900614610920753
70,53621,12.56152629852295,71.76492309570312,11.022064208984375,43728,8916,977,0,26932,26689,26854,26767,2101,633,34.797636757612,1.3514528310546086,0.07974070738501628
71,53894,12.592965126037598,73.08670043945312,11.091778755187988,44102,8774,1018,0,27172,26722,27013,26881,2146,672,35.09525650119384,1.329929019703133,0.0830870420859228
72,53741,12.589200973510742,72.52629089355469,11.020540237426758,44024,8759,958,0,27109,26632,26934,26807,2189,660,35.033186073388,1.3276553776589632,0.07818996691386447
73,53719,12.620519638061523,71.86219787597656,11.103535652160645,44101,8580,1038,0,27074,26645,26813,26906,2238,692,35.09446072647838,1.300523249265202,0.0847194004766089
74,53738,12.63815975189209,72.09111785888672,11.10140609741211,44154,8530,1054,0,27101,26637,26859,26879,2328,717,35.13663678639773,1.2929444424513021,0.08602528718915778
75,53697,12.683035850524902,71.99107360839844,11.143302917480469,44137,8473,1087,0,27047,26650,26886,26811,2366,733,35.12310861623492,1.2843046026834564,0.08871867853378985
76,53761,12.757638931274414,72.14697265625,11.211463928222656,44195,8454,1112,0,27132,26629,26930,26831,2463,764,35.169263549731575,1.2814246560941744,0.09075912652214749
77,53821,12.778360366821289,72.18779754638672,11.212504386901855,44306,8382,1133,0,27026,26795,26942,26879,2544,780,35.257594543147576,1.2705111742821589,0.0924731028323679
78,53950,12.854104042053223,72.73522186279297,11.327263832092285,44442,8318,1190,0,27228,26722,27049,26901,2611,825,35.36581990445006,1.260810301560367,0.0971253242458233
79,53963,12.811956405639648,73.0946044921875,11.2421293258667,44636,8161,1166,0,27086,26877,27049,26914,2609,823,35.5202001992492,1.2370128481647218,0.09516649417699997
80,53874,12.826998710632324,73.3067855834961,11.25230884552002,44574,8120,1180,0,27024,26850,27015,26859,2575,854,35.47086216689071,1.230798226577324,0.09630914505048026
81,54047,12.85755729675293,73.48017120361328,11.328130722045898,44703,8092,1252,0,27137,26910,27109,26938,2584,889,35.57351710518498,1.22655409476154,0.10218563525695024
82,54136,12.834505081176758,73.88735961914062,11.291221618652344,44768,8092,1276,0,27093,27043,27175,26961,2516,890,35.62524246168985,1.22655409476154,0.10414446532577357
83,54137,12.822607040405273,74.3386001586914,11.24213981628418,44694,8172,1271,0,27177,26960,27168,26969,2519,886,35.56635513274585,1.2386801856637797,0.10373637572810203
84,54148,12.853116989135742,74.5289077758789,11.30821704864502,44575,8264,1309,0,26999,27149,27227,26921,2592,892,35.471657941606175,1.2526251902013554,0.10683785667040564
85,54028,12.858033180236816,73.60084533691406,11.2789945602417,44418,8322,1288,0,26982,27046,27087,26941,2590,880,35.34672131127903,1.261416606105479,0.10512388036018522
86,54072,12.915565490722656,74.38680267333984,11.345622062683105,44330,8539,1203,0,26848,27224,27159,26913,2665,795,35.2766931363186,1.2943086276778042,0.09818635719976927
87,54198,12.926548957824707,71.819091796875,11.363425254821777,44369,8718,1111,0,26893,27305,27259,26939,2712,705,35.307728350221524,1.3214407560715653,0.09067750860261319
88,54301,12.939987182617188,71.54281616210938,11.344597816467285,44443,8732,1126,0,26836,27465,27362,26939,2578,714,35.36661567916552,1.3235628219794573,0.09190177739562777
89,54172,13.008684158325195,71.72501373291016,11.440814971923828,44208,8832,1132,0,26797,27375,27292,26880,2418,694,35.17960862103254,1.3387204356072568,0.0923914849128336
90,54269,10.821044921875,71.81574249267578,9.12082290649414,46544,7259,466,0,27562,26707,27605,26664,955,383,37.03853835634588,1.1002911732419698,0.03803395050298627
91,54385,10.839472770690918,71.79509735107422,9.15444564819336,46575,7337,473,0,27604,26781,27679,26706,978,387,37.06320737252513,1.1121141118716535,0.03860527593972641
92,54349,10.84018325805664,71.81897735595703,9.175339698791504,46510,7364,475,0,27473,26876,27649,26700,985,387,37.01148201602026,1.1162066675511593,0.03876851177879502
93,54344,10.839707374572754,71.81648254394531,9.184082984924316,46504,7364,476,0,27686,26658,27672,26672,963,384,37.0067073677275,1.1162066675511593,0.03885012969832932
94,54472,10.85944652557373,71.79795837402344,9.199453353881836,46574,7424,474,0,27655,26817,27777,26695,979,385,37.062411597809664,1.1253012357278391,0.03868689385926071
95,54343,10.880030632019043,71.80374145507812,9.231712341308594,46493,7364,486,0,27590,26753,27760,26583,978,386,36.99795384585745,1.1162066675511593,0.039666308893672377
96,54411,10.892292976379395,72.12481689453125,9.223982810974121,46570,7368,473,0,27633,26778,27736,26675,964,378,37.05922849894783,1.1168129720962714,0.03860527593972641
97,54576,10.968828201293945,74.04267883300781,9.444206237792969,46712,7357,507,0,27600,26976,27719,26857,1079,399,37.17222850854307,1.1151456345972133,0.04138028520389279
98,54635,11.113126754760742,77.28543090820312,9.874275207519531,46582,7328,725,0,27439,27196,27820,26815,1156,503,37.06877779553334,1.1107499266451515,0.05917299166237134
99,54636,11.076570510864258,71.2161865234375,9.832315444946289,46524,7386,726,0,27304,27332,27789,26847,1244,519,37.02262286203669,1.1195413425492753,0.05925460958190565
100,54708,11.096513748168945,75.60869598388672,9.928417205810547,46593,7368,747,0,27310,27398,27798,26910,1248,557,37.0775313174034,1.1168129720962714,0.06096858589212606
101,54762,11.103555679321289,73.3327407836914,9.877613067626953,46485,7576,701,0,27273,27489,27822,26940,1268,523,36.99158764813377,1.1483408084420945,0.057214161593548016
102,54757,11.160134315490723,72.74285125732422,9.930773735046387,46347,7691,719,0,27324,27433,27794,26963,1244,528,36.881770737400366,1.1657720641140639,0.05868328414516551
103,54891,11.165935516357422,70.3709716796875,9.92506217956543,46354,7805,732,0,27521,27370,27878,27013,1277,541,36.88734116040858,1.1830517436497554,0.05974431709911148
104,54677,11.180977821350098,72.67064666748047,9.922758102416992,46147,7762,768,0,27302,27375,27861,26816,1247,554,36.72261579430847,1.1765339697898016,0.06268256220234647
105,54747,11.18308162689209,72.29364013671875,9.914264678955078,46194,7783,770,0,27280,27467,27723,27024,1245,555,36.760017205935064,1.1797170686516394,0.06284579804141507
106,54701,11.199774742126465,75.2969970703125,9.878274917602539,46156,7803,742,0,27374,27327,27735,26966,1269,524,36.7297777667476,1.1827485913771993,0.06056049629445453
107,54862,11.232101440429688,80.34011840820312,10.000439643859863,46350,7728,781,3,27311,27551,27806,27056,1275,522,36.88415806154674,1.1713803811563497,0.06374359515629244
108,54797,11.206245422363281,79.8254165649414,9.938899040222168,46423,7626,748,0,27302,27495,27744,27053,1283,487,36.94224961577529,1.1559196152559943,0.06105020381166036
109,54879,11.209151268005371,79.9217529296875,9.927679061889648,46528,7597,754,0,27306,27573,27851,27028,1325,499,37.02580596089853,1.1515239073039323,0.061539911328866194
110,54893,11.24927806854248,79.79096221923828,9.972371101379395,46459,7667,767,0,27337,27556,27734,27159,1405,517,36.97089750553182,1.162134236843392,0.06260094428281217
111,54973,11.207831382751465,80.1927490234375,9.80018138885498,46594,7635,739,5,27319,27654,27901,27072,1450,519,37.078327092118855,1.1572838004824961,0.060315642535851616
112,54935,11.207015991210938,80.4264907836914,9.711197853088379,46492,7704,738,1,27378,27557,27889,27046,1520,539,36.99715807114199,1.1677425538856778,0.060234024616317314
113,54854,11.245565414428711,76.21827697753906,9.68570613861084,46399,7746,709,0,27300,27554,27805,27049,1549,511,36.92315102260426,1.1741087516093536,0.05786710494982246
114,54980,11.29771614074707,76.08492279052734,9.74910831451416,46442,7840,698,0,27362,27618,27925,27055,1636,506,36.957369335369016,1.1883569084194852,0.056969307834945096
115,54974,11.363224029541016,76.8721694946289,9.791406631469727,46466,7814,694,0,27320,27654,27916,27058,1678,492,36.976467928540046,1.1844159288762575,0.056642836156807874
116,54930,11.404239654541016,76.53823852539062,9.85158634185791,46600,7650,680,0,27276,27654,27885,27045,1751,490,37.083101740411614,1.1595574425266661,0.055500185283327605
117,54895,11.495760917663574,75.23841857910156,9.961225509643555,46668,7561,666,0,27233,27662,27860,27035,1819,462,37.13721442106286,1.1460671663979245,0.05435753440984733
118,54971,11.525341987609863,73.1530532836914,9.96402645111084,46917,7410,644,0,27207,27764,27899,27072,1853,437,37.335362325212266,1.1231791698199471,0.05256194018009261
119,54941,11.525803565979004,73.5936508178711,9.93392276763916,46972,7358,611,0,27177,27764,27836,27105,1880,411,37.37912993456254,1.1152972107334913,0.04986854883546054
120,55093,11.586170196533203,72.92730712890625,9.980021476745605,47138,7382,573,0,27303,27790,27922,27171,1875,370,37.51122853732881,1.1189350380041632,0.04676706789315693
121,54988,11.606760025024414,73.86235809326172,10.016047477722168,47056,7363,569,0,27083,27905,27817,27171,1940,367,37.44597501066114,1.1160550914148815,0.04644059621501972
122,54949,11.655375480651855,74.1014404296875,10.071322441101074,47008,7392,549,0,27182,27767,27841,27108,2007,358,37.407777824319076,1.1204507993669433,0.04480823782433361
123,54979,11.575940132141113,73.90302276611328,9.98038387298584,47262,7231,486,0,27190,27789,27774,27205,2019,320,37.60990460204579,1.096047041426186,0.039666308893672377
124,54993,11.571356773376465,73.30638885498047,9.984081268310547,47207,7323,463,0,27101,27892,27797,27196,2050,302,37.56613699269552,1.1099920459637616,0.037789096744383355
125,54968,11.56057071685791,73.3067398071289,9.973150253295898,47132,7377,459,0,26992,27976,27745,27223,2093,311,37.50645388903605,1.1181771573227732,0.03746262506624613
126,54947,11.594158172607422,72.6100845336914,10.014994621276855,47080,7416,451,0,26909,28038,27784,27163,2138,297,37.46507360383216,1.124088626637615,0.03680968170997169
127,54892,11.583452224731445,72.51822662353516,9.98227310180664,47059,7387,446,0,26891,28001,27748,27144,2167,292,37.44836233480751,1.1196929186855533,0.036401592112300166
128,54800,11.67975902557373,71.61044311523438,9.984809875488281,46849,7519,432,0,26779,28021,27707,27093,2226,280,37.28124964456102,1.1397009686742487,0.03525894123881989
129,54665,11.72711181640625,73.52093505859375,9.91249942779541,46859,7395,411,0,26703,27962,27523,27142,2259,262,37.289207391715614,1.1209055277757771,0.03354496492859948
130,54569,11.767882347106934,73.4383773803711,9.821353912353516,46805,7386,378,0,26659,27910,27604,26965,2267,228,37.24623555708081,1.1195413425492753,0.030851573583967402
131,54379,11.809475898742676,73.68659210205078,9.755534172058105,46635,7364,380,0,26498,27881,27491,26888,2305,230,37.11095385545269,1.1162066675511593,0.031014809423036013
132,54507,11.886808395385742,73.72917175292969,9.761808395385742,46621,7498,388,0,26522,27985,27465,27042,2360,245,37.09981300943626,1.1365178698124108,0.03166775277931046
133,54355,11.934768676757812,74.90690612792969,9.78486442565918,46413,7557,385,0,26366,27989,27360,26995,2370,231,36.93429186862069,1.1454608618528126,0.03142289902070754
134,54232,11.998007774353027,74.26683807373047,9.834756851196289,46210,7623,399,0,26309,27923,27329,26903,2455,243,36.772749601382415,1.1554648868471602,0.03256554989418781
135,54191,12.059309959411621,74.71187591552734,9.854286193847656,46086,7685,420,0,26156,28035,27285,26906,2544,272,36.67407353666544,1.164862607296396,0.034279526204408224
136,54216,12.109857559204102,73.97167205810547,9.85991382598877,46036,7748,432,0,26173,28043,27206,27010,2598,268,36.634284800892466,1.1744119038819096,0.03525894123881989
137,54080,12.094522476196289,73.842529296875,9.77122974395752,45949,7709,422,0,26038,28042,27130,26950,2639,268,36.565052400647495,1.1685004345670678,0.034442762043476835
138,54056,12.131352424621582,74.40185546875,9.773838996887207,45787,7828,441,0,25927,28129,27210,26846,2735,291,36.43613689674306,1.1865379947841492,0.035993502514628635
139,53893,12.15514087677002,75.40441131591797,9.807533264160156,45544,7889,460,0,25906,27987,27063,26830,2774,308,36.24276364088641,1.1957841390971071,0.037544242985780435
140,53811,12.161874771118164,72.03628540039062,9.77100944519043,45536,7822,453,0,25900,27911,26977,26834,2822,296,36.23639744316273,1.1856285379664813,0.0369729175490403
141,53739,12.197617530822754,73.14683532714844,9.828729629516602,45397,7843,499,0,25925,27814,26971,26768,2768,336,36.12578475771386,1.1888116368283193,0.040727341847618344
142,53641,12.165733337402344,73.04910278320312,9.761714935302734,45387,7786,468,0,25880,27761,26913,26728,2772,314,36.11782701055927,1.1801717970604735,0.03819718634205488
143,53632,12.202430725097656,72.53507995605469,9.775752067565918,45227,7938,467,0,25859,27773,26864,26768,2759,313,35.99050305608575,1.2032113697747289,0.038115568422520577
144,53747,12.182954788208008,73.31037139892578,9.795125007629395,45378,7873,496,0,25886,27861,26964,26783,2793,337,36.11066503812013,1.193358920916659,0.04048248808901543
145,53652,12.21696662902832,74.91539001464844,9.816610336303711,45185,7967,500,0,25869,27783,26832,26820,2793,348,35.957080518036456,1.2076070777267907,0.04080895976715265
146,53709,12.190587043762207,76.89739990234375,9.780933380126953,45265,7969,475,0,25878,27831,26883,26826,2732,345,36.02074249527321,1.2079102299993467,0.03876851177879502
147,53509,12.20577621459961,76.64292907714844,9.78269100189209,45016,8018,475,0,25867,27642,26814,26695,2700,349,35.8225945911238,1.2153374606769685,0.03876851177879502
148,53679,12.233718872070312,76.32781219482422,9.858485221862793,45157,8018,504,0,25968,27711,26835,26844,2664,351,35.934798826003586,1.2153374606769685,0.04113543144528987
149,53673,12.265446662902832,75.90837860107422,9.88913345336914,45097,8046,530,0,25920,27753,26838,26835,2651,375,35.88705234307602,1.2195815924927522,0.04325749735318181
150,53504,12.2462739944458,75.3556137084961,9.806958198547363,45021,7965,518,0,25887,27617,26745,26759,2613,356,35.8265734647011,1.2073039254542346,0.042278082318770144
151,53587,12.28453254699707,80.52733612060547,9.868758201599121,45090,7952,538,7,25863,27724,26719,26868,2619,370,35.881481920067806,1.2053334356826206,0.04391044070945625
152,53560,12.349452018737793,80.0814437866211,9.95529842376709,45072,7945,540,3,26020,27540,26705,26855,2626,366,35.867157975189535,1.2042724027286749,0.044073676548524864
153,53576,12.425056457519531,79.52527618408203,10.038633346557617,44976,8061,539,0,26134,27442,26811,26765,2627,364,35.79076360250542,1.2218552345369222,0.043992058628990555
154,53620,12.507575035095215,78.7428970336914,10.123162269592285,44862,8192,566,0,26186,27434,26727,26893,2557,367,35.700045284943045,1.2417117083893396,0.0461957424564168
155,53560,12.546968460083008,78.11547088623047,10.1214599609375,44707,8313,540,0,26158,27402,26700,26860,2521,329,35.57670020404682,1.2600524208789772,0.044073676548524864
156,53593,12.57664966583252,77.3115463256836,10.138842582702637,44633,8386,574,0,26309,27284,26751,26842,2415,343,35.51781287510282,1.2711174788272708,0.04684868581269124
157,53476,12.53499698638916,76.58345794677734,10.034697532653809,44409,8561,506,0,26307,27169,26690,26786,2285,297,35.3395593388399,1.29764330267592,0.04129866728435848
158,53439,12.557822227478027,75.97828674316406,10.089613914489746,44216,8739,484,0,26331,27108,26598,26841,2260,266,35.18597481875622,1.3246238549334033,0.039503073054603766
159,53626,12.603693008422852,75.45628356933594,10.231721878051758,44281,8816,529,0,26424,27202,26767,26859,2263,312,35.23770017526109,1.336295217426809,0.0431758794336475
160,53752,12.739970207214355,74.76610565185547,10.633193969726562,44165,8942,645,0,26724,27028,26975,26777,2325,436,35.145390308267785,1.3553938105978363,0.05264355809962692
161,53620,12.723481178283691,74.35773468017578,10.639535903930664,44015,8977,628,0,26719,26901,26749,26871,2266,437,35.02602410094887,1.3606989753675662,0.05125605346754373
162,53516,12.728604316711426,74.01227569580078,10.684571266174316,43803,9091,622,0,26718,26798,26737,26779,2219,435,34.857319861271456,1.3779786549032578,0.050766345950337896
163,53549,12.698768615722656,73.61992645263672,10.706972122192383,43764,9134,651,0,26788,26761,26755,26794,2283,437,34.82628464736854,1.3844964287632116,0.05313326561683275
164,53599,12.67770767211914,73.46005249023438,10.750940322875977,43720,9165,714,0,26816,26783,26802,26797,2202,466,34.79127055988832,1.3891952889878294,0.05827519454749398
