frame,ego_id,ego_detected_box_count,has_collaborator,ego_origin_lidar_shape_0,ego_origin_lidar_shape_1,ego_pcd_num_points,ego_pcd_mean_range,ego_pcd_max_range,ego_pcd_std_range,ego_pcd_near_20m,ego_pcd_mid_20_50m,ego_pcd_far_50_80m,ego_pcd_very_far_80m,ego_pcd_front_points,ego_pcd_back_points,ego_pcd_left_points,ego_pcd_right_points,ego_pcd_front_far_30m,ego_pcd_front_far_50m,ego_pcd_density_0_20,ego_pcd_density_20_50,ego_pcd_density_50_80
41,302,22,1,54165,4,54165,12.048542976379395,117.74844360351562,12.041049003601074,45768,7505,648,244,26220,27945,27182,26983,2802,641,36.42101717714933,1.1375789027663568,0.05288841185822983
42,302,21,1,53958,4,53958,12.080333709716797,111.4941635131836,12.118086814880371,45663,7401,660,234,26063,27895,27054,26904,2773,643,36.33746083202608,1.121814984593445,0.053867826892641496
43,302,22,1,54063,4,54063,12.092497825622559,116.74610137939453,11.989989280700684,45744,7442,674,203,26211,27852,27102,26961,2816,655,36.4019185839783,1.128029606180843,0.05501047776612177
44,302,22,1,53940,4,53940,12.136971473693848,114.23755645751953,11.983534812927246,45594,7468,695,183,26278,27662,27023,26917,2775,667,36.28255237665938,1.131970585724071,0.05672445407634218
45,302,22,1,53768,4,53768,12.225180625915527,112.1178207397461,12.083039283752441,45294,7557,739,178,26212,27556,26911,26857,2799,700,36.04381996202154,1.1454608618528126,0.060315642535851616
46,302,21,1,54023,4,54023,12.266826629638672,115.4291000366211,12.091063499450684,45449,7665,736,173,26291,27732,27062,26961,2802,679,36.16716504291775,1.161831084570836,0.0600707887772487
47,302,21,1,53916,4,53916,12.339130401611328,116.25160217285156,12.113977432250977,45235,7757,769,155,26289,27627,27054,26862,2716,695,35.99686925380943,1.1757760891084117,0.06276418012188077
48,302,22,1,53867,4,53867,12.444665908813477,118.43827056884766,12.157875061035156,45147,7782,766,172,26315,27552,26943,26924,2696,675,35.926841078848994,1.1795654925153616,0.06251932636327785
49,302,20,1,53890,4,53890,12.465022087097168,119.98411560058594,12.061843872070312,45110,7845,770,165,26465,27425,27015,26875,2643,674,35.89739741437699,1.1891147891008753,0.06284579804141507
50,302,20,1,53977,4,53977,12.519425392150879,111.79759979248047,11.900540351867676,45123,7908,799,147,26521,27456,27029,26948,2578,654,35.907742485677964,1.198664085686389,0.06521271770790993
51,302,21,1,53881,4,53881,12.546146392822266,112.34137725830078,11.7276029586792,44945,8049,751,136,26452,27429,26966,26915,2523,591,35.766094586326176,1.2200363209015863,0.06129505757026328
52,302,23,1,53942,4,53942,12.615285873413086,112.68684387207031,11.717561721801758,44857,8165,780,140,26531,27411,27032,26910,2509,614,35.69606641136575,1.2376191527098337,0.06366197723675814
53,302,23,1,53955,4,53955,12.66876220703125,113.81407165527344,11.621899604797363,44748,8311,757,139,26576,27379,27024,26931,2391,600,35.60932696738066,1.2597492686064211,0.061784765087469114
54,302,23,1,53667,4,53667,12.687850952148438,108.66380310058594,11.512781143188477,44381,8422,737,127,26526,27141,26908,26759,2313,584,35.317277646807035,1.2765742197332786,0.060152406696783005
55,302,23,1,53774,4,53774,12.727669715881348,119.79383850097656,11.62896728515625,44479,8384,764,147,26585,27189,26950,26824,2265,614,35.39526356892206,1.270814326554715,0.06235609052420925
56,302,23,1,53936,4,53936,12.849994659423828,117.4624252319336,11.877571105957031,44427,8584,751,174,26744,27192,27005,26931,2334,621,35.35388328371817,1.301129553810314,0.06129505757026328
57,302,23,1,53909,4,53909,12.843179702758789,116.90603637695312,11.853025436401367,44347,8643,791,128,26806,27103,26941,26968,2207,626,35.29022130648141,1.3100725458507156,0.06455977435163548
58,302,23,1,53796,4,53796,12.887850761413574,117.51673889160156,11.99942684173584,44189,8672,793,142,26849,26947,26909,26887,2171,647,35.164488901438816,1.3144682538027777,0.0647230101907041
59,302,23,1,53862,4,53862,12.88789176940918,118.26283264160156,12.008662223815918,44175,8736,813,138,26914,26948,26954,26908,2180,661,35.153348055422384,1.3241691265245692,0.06635536858139021
60,302,22,1,53991,4,53991,12.933375358581543,118.35316467285156,12.046226501464844,44010,9014,841,126,27001,26990,26998,26993,2261,667,35.02204522737157,1.366307292409852,0.06864067032835075
61,302,22,1,53842,4,53842,12.885632514953613,111.38682556152344,12.065046310424805,43879,8947,903,113,26992,26850,26847,26995,2138,701,34.91779873964638,1.3561516912792264,0.07370098133947768
62,302,21,1,53804,4,53804,12.861421585083008,111.41796112060547,12.086787223815918,43733,9004,948,119,27006,26798,26868,26936,2058,698,34.80161563118929,1.3647915310470722,0.07737378771852142
63,302,19,1,53920,4,53920,12.896080017089844,111.61910247802734,12.218376159667969,43650,9117,1028,125,27097,26823,26913,27007,2023,746,34.735566329806154,1.3819196344464855,0.08390322128126584
64,302,20,1,53967,4,53967,12.833059310913086,118.96720886230469,12.150744438171387,43767,9036,1041,123,27216,26751,26953,27014,2012,736,34.828671971514915,1.3696419674079678,0.08496425423521181
65,302,19,1,53959,4,53959,12.87144947052002,113.71251678466797,12.211041450500488,43671,9087,1079,122,27248,26711,26943,27016,2002,759,34.75227759883081,1.3773723503581456,0.08806573517751541
66,302,20,1,53978,4,53978,12.889311790466309,113.04183959960938,12.25206470489502,43683,9085,1080,130,27322,26656,27028,26950,2088,765,34.76182689541632,1.3770691980855898,0.08814735309704973
67,302,19,1,54128,4,54128,12.90187931060791,113.19248962402344,12.21324634552002,43747,9163,1095,123,27276,26852,27146,26982,2145,777,34.812756477205724,1.3888921367152733,0.0893716218900643
68,302,18,1,53977,4,53977,12.917397499084473,113.17548370361328,12.272435188293457,43567,9173,1101,136,27183,26794,27074,26903,2213,781,34.66951702842302,1.3904078980780534,0.08986132940727014
69,302,17,1,54004,4,54004,12.884395599365234,111.49966430664062,12.171561241149902,43723,9067,1087,127,27147,26857,27065,26939,2255,788,34.7936578840347,1.3743408276325857,0.08871867853378985
70,302,17,1,53871,4,53871,12.914512634277344,114.570556640625,12.194282531738281,43728,8916,1096,131,27092,26779,26991,26880,2261,793,34.797636757612,1.3514528310546086,0.08945323980959861
71,302,17,1,54139,4,54139,12.948941230773926,119.86231231689453,12.306432723999023,44102,8774,1118,145,27329,26810,27149,26990,2303,829,35.09525650119384,1.329929019703133,0.09124883403935333
72,302,16,1,53979,4,53979,12.935286521911621,119.69049835205078,12.208661079406738,44024,8759,1053,143,27266,26713,27071,26908,2346,817,35.033186073388,1.3276553776589632,0.08594366926962348
73,302,17,1,53971,4,53971,12.989279747009277,119.74396514892578,12.367079734802246,44101,8580,1143,147,27244,26727,26960,27011,2408,862,35.09446072647838,1.300523249265202,0.09328928202771096
74,302,18,1,54002,4,54002,13.023273468017578,119.02691650390625,12.41352367401123,44154,8530,1170,148,27275,26727,27013,26989,2502,891,35.13663678639773,1.2929444424513021,0.0954929658551372
75,302,17,1,53949,4,53949,13.050588607788086,118.26460266113281,12.392769813537598,44137,8473,1203,136,27217,26732,27033,26916,2536,903,35.12310861623492,1.2843046026834564,0.09818635719976927
76,302,17,1,54026,4,54026,13.14340877532959,119.78672790527344,12.508689880371094,44195,8454,1228,149,27303,26723,27081,26945,2634,935,35.169263549731575,1.2814246560941744,0.1002268051881269
77,302,17,1,54093,4,54093,13.180787086486816,119.87120056152344,12.590215682983398,44306,8382,1245,160,27212,26881,27094,26999,2730,966,35.257594543147576,1.2705111742821589,0.1016143098202101
78,302,17,1,54223,4,54223,13.257680892944336,119.77565002441406,12.697224617004395,44442,8318,1299,164,27412,26811,27191,27032,2795,1009,35.36581990445006,1.260810301560367,0.10602167747506258
79,302,17,1,54260,4,54260,13.252883911132812,119.88780212402344,12.74993896484375,44636,8161,1278,185,27290,26970,27208,27052,2813,1027,35.5202001992492,1.2370128481647218,0.10430770116484217
80,302,17,1,54169,4,54169,13.264900207519531,119.46610260009766,12.746968269348145,44574,8120,1292,183,27221,26948,27169,27000,2772,1051,35.47086216689071,1.230798226577324,0.10545035203832244
81,302,17,1,54340,4,54340,13.288736343383789,118.74652862548828,12.783443450927734,44703,8092,1366,179,27327,27013,27253,27087,2774,1079,35.57351710518498,1.22655409476154,0.11149007808386104
82,302,17,1,54454,4,54454,13.299038887023926,118.68818664550781,12.849068641662598,44768,8092,1404,190,27294,27160,27337,27117,2717,1091,35.62524246168985,1.22655409476154,0.11459155902616464
83,302,17,1,54453,4,54453,13.283093452453613,118.83880615234375,12.787490844726562,44694,8172,1394,193,27383,27070,27330,27123,2725,1092,35.56635513274585,1.2386801856637797,0.11377537983082159
84,302,17,1,54448,4,54448,13.296993255615234,118.3506851196289,12.813514709472656,44575,8264,1416,193,27203,27245,27377,27071,2796,1096,35.471657941606175,1.2526251902013554,0.1155709740605763
85,302,17,1,54365,4,54365,13.347569465637207,119.73267364501953,12.901716232299805,44418,8322,1422,203,27197,27168,27246,27119,2805,1095,35.34672131127903,1.261416606105479,0.11606068157778214
86,302,14,1,54404,4,54404,13.402268409729004,119.44489288330078,12.96545124053955,44330,8539,1333,202,27058,27346,27313,27091,2875,1005,35.2766931363186,1.2943086276778042,0.10879668673922896
87,302,14,1,54524,4,54524,13.393529891967773,119.17911529541016,12.88747787475586,44369,8718,1259,178,27103,27421,27403,27121,2922,915,35.307728350221524,1.3214407560715653,0.10275696069369038
88,302,15,1,54640,4,54640,13.427070617675781,117.56636047363281,12.935565948486328,44443,8732,1266,199,27048,27592,27518,27122,2790,926,35.36661567916552,1.3235628219794573,0.1033282861304305
89,302,15,1,54494,4,54494,13.478906631469727,118.76458740234375,12.98964786529541,44208,8832,1258,196,27004,27490,27437,27057,2625,901,35.17960862103254,1.3387204356072568,0.10267534277415606
90,1773,23,1,54596,4,54596,11.374249458312988,119.9784927368164,11.576482772827148,46544,7259,483,310,27608,26988,27765,26831,1001,429,37.03853835634588,1.1002911732419698,0.03942145513506946
91,1773,22,1,54705,4,54705,11.37907600402832,119.95661163330078,11.547289848327637,46575,7337,492,301,27651,27054,27832,26873,1025,434,37.06320737252513,1.1121141118716535,0.04015601641087821
92,1773,21,1,54670,4,54670,11.382766723632812,119.9607162475586,11.577691078186035,46510,7364,491,305,27518,27152,27810,26860,1030,432,37.01148201602026,1.1162066675511593,0.0400743984913439
93,1773,21,1,54661,4,54661,11.37885570526123,119.9574203491211,11.581991195678711,46504,7364,489,304,27729,26932,27824,26837,1006,427,37.0067073677275,1.1162066675511593,0.03991116265227529
94,1773,20,1,54790,4,54790,11.397590637207031,119.96728515625,11.585769653320312,46574,7424,491,301,27697,27093,27933,26857,1021,427,37.062411597809664,1.1253012357278391,0.0400743984913439
95,1773,22,1,54660,4,54660,11.419489860534668,120.00227355957031,11.62043285369873,46493,7364,499,304,27630,27030,27918,26742,1018,426,36.99795384585745,1.1162066675511593,0.040727341847618344
96,1773,21,1,54727,4,54727,11.429323196411133,120.00569915771484,11.6055908203125,46570,7368,487,302,27674,27053,27890,26837,1005,419,37.05922849894783,1.1168129720962714,0.03974792681320668
97,1773,24,1,54931,4,54931,11.56763744354248,119.41043853759766,12.016007423400879,46712,7357,526,336,27676,27255,27906,27025,1155,475,37.17222850854307,1.1151456345972133,0.04293102567504459
98,1773,28,1,55017,4,55017,11.733321189880371,117.69310760498047,12.360030174255371,46582,7328,764,343,27554,27463,28038,26979,1271,618,37.06877779553334,1.1107499266451515,0.06235609052420925
99,1773,33,1,55105,4,55105,11.819990158081055,118.4703369140625,12.715005874633789,46524,7386,789,406,27473,27632,28042,27063,1413,688,37.02262286203669,1.1195413425492753,0.06439653851256688
100,1773,33,1,55164,4,55164,11.830455780029297,119.74950408935547,12.788663864135742,46593,7368,783,420,27493,27671,28044,27120,1431,740,37.0775313174034,1.1168129720962714,0.06390683099536106
101,1773,34,1,55243,4,55243,11.862837791442871,119.94540405273438,12.810545921325684,46485,7576,811,371,27490,27753,28104,27139,1485,740,36.99158764813377,1.1483408084420945,0.0661921327423216
102,1773,34,1,55208,4,55208,11.876286506652832,117.11194610595703,12.708861351013184,46347,7691,806,364,27521,27687,28041,27167,1441,725,36.881770737400366,1.1657720641140639,0.06578404314465007
103,1773,35,1,55363,4,55363,11.90698528289795,119.23674011230469,12.77203369140625,46354,7805,829,375,27743,27620,28135,27228,1499,763,36.88734116040858,1.1830517436497554,0.0676612552939391
104,1773,33,1,55135,4,55135,11.90579605102539,119.26802062988281,12.722572326660156,46147,7762,854,372,27512,27623,28116,27019,1457,764,36.72261579430847,1.1765339697898016,0.06970170328229673
105,1773,33,1,55245,4,55245,11.967859268188477,119.61339569091797,12.913727760314941,46194,7783,852,416,27507,27738,27991,27254,1472,782,36.760017205935064,1.1797170686516394,0.06953846744322811
106,1773,33,1,55206,4,55206,11.994755744934082,118.59025573730469,12.917966842651367,46156,7803,823,424,27590,27616,27989,27217,1485,740,36.7297777667476,1.1827485913771993,0.06717154777673326
107,1773,33,1,55362,4,55362,12.016051292419434,119.52461242675781,12.970335960388184,46350,7728,860,424,27528,27834,28046,27316,1492,739,36.88415806154674,1.1713803811563497,0.07019141079950256
108,1773,33,1,55303,4,55303,11.99315071105957,119.42005157470703,12.912906646728516,46423,7626,837,417,27523,27780,27987,27316,1504,708,36.94224961577529,1.1559196152559943,0.06831419865021353
109,1773,32,1,55384,4,55384,11.994738578796387,119.98502349853516,12.905837059020996,46528,7597,836,423,27514,27870,28102,27282,1533,707,37.02580596089853,1.1515239073039323,0.06823258073067923
110,1773,32,1,55390,4,55390,12.019255638122559,119.73461151123047,12.877843856811523,46459,7667,847,417,27548,27842,27975,27415,1616,728,36.97089750553182,1.162134236843392,0.06913037784555659
111,1773,32,1,55485,4,55485,11.999565124511719,119.91905975341797,12.818880081176758,46594,7635,823,433,27535,27950,28157,27328,1666,735,37.078327092118855,1.1572838004824961,0.06717154777673326
112,1773,33,1,55426,4,55426,11.973092079162598,119.8321533203125,12.686643600463867,46492,7704,839,391,27589,27837,28139,27287,1731,750,36.99715807114199,1.1677425538856778,0.06847743448928215
113,1773,33,1,55318,4,55318,11.974626541137695,119.84823608398438,12.557348251342773,46399,7746,817,356,27528,27790,28065,27253,1777,739,36.92315102260426,1.1741087516093536,0.06668184025952743
114,1773,33,1,55427,4,55427,12.00862979888916,119.87298583984375,12.571675300598145,46442,7840,791,354,27582,27845,28167,27260,1856,726,36.957369335369016,1.1883569084194852,0.06455977435163548
115,1773,35,1,55403,4,55403,12.049015045166016,119.83271026611328,12.529617309570312,46466,7814,780,343,27530,27873,28150,27253,1888,702,36.976467928540046,1.1844159288762575,0.06366197723675814
116,1773,34,1,55351,4,55351,12.078710556030273,119.89778137207031,12.538320541381836,46600,7650,761,340,27482,27869,28107,27244,1957,696,37.083101740411614,1.1595574425266661,0.062111236765606335
117,1773,37,1,55301,4,55301,12.145780563354492,119.52394104003906,12.532208442687988,46668,7561,743,329,27433,27868,28091,27210,2019,662,37.13721442106286,1.1460671663979245,0.06064211421398884
118,1773,37,1,55368,4,55368,12.15818977355957,119.81382751464844,12.464473724365234,46917,7410,708,333,27411,27957,28118,27250,2057,641,37.335362325212266,1.1231791698199471,0.05778548703028815
119,1773,36,1,55314,4,55314,12.119930267333984,119.90996551513672,12.29930305480957,46972,7358,648,336,27372,27942,28050,27264,2075,606,37.37912993456254,1.1152972107334913,0.05288841185822983
120,1773,37,1,55474,4,55474,12.18853759765625,119.81334686279297,12.354866027832031,47138,7382,615,339,27503,27971,28144,27330,2075,570,37.51122853732881,1.1189350380041632,0.05019502051359776
121,1773,37,1,55354,4,55354,12.187246322631836,119.81532287597656,12.307262420654297,47056,7363,601,334,27284,28070,28033,27321,2141,568,37.44597501066114,1.1160550914148815,0.049052369640117485
122,1773,35,1,55318,4,55318,12.238622665405273,119.94515991210938,12.356590270996094,47008,7392,610,308,27384,27934,28068,27250,2209,560,37.407777824319076,1.1204507993669433,0.04978693091592623
123,1773,35,1,55345,4,55345,12.140226364135742,119.87452697753906,12.176846504211426,47262,7231,565,287,27381,27964,28006,27339,2210,511,37.60990460204579,1.096047041426186,0.046114124536882496
124,1773,36,1,55344,4,55344,12.110884666442871,119.96685791015625,12.084630012512207,47207,7323,537,277,27300,28044,28021,27323,2249,501,37.56613699269552,1.1099920459637616,0.043828822789921944
125,1773,36,1,55319,4,55319,12.093287467956543,119.96080017089844,12.024608612060547,47132,7377,541,269,27193,28126,27979,27340,2294,512,37.50645388903605,1.1181771573227732,0.044155294468059166
126,1773,35,1,55270,4,55270,12.0790433883667,119.90811920166016,11.86878776550293,47080,7416,530,244,27094,28176,27992,27278,2323,482,37.46507360383216,1.124088626637615,0.04325749735318181
127,1773,37,1,55225,4,55225,12.078060150146484,119.89651489257812,11.850110054016113,47059,7387,525,254,27104,28121,27945,27280,2380,505,37.44836233480751,1.1196929186855533,0.04284940775551028
128,1773,37,1,55097,4,55097,12.119675636291504,118.59549713134766,11.643024444580078,46849,7519,496,233,26984,28113,27878,27219,2431,485,37.28124964456102,1.1397009686742487,0.04048248808901543
129,1773,36,1,54985,4,54985,12.193158149719238,113.94147491455078,11.646495819091797,46859,7395,490,241,26913,28072,27707,27278,2469,472,37.289207391715614,1.1209055277757771,0.0399927805718096
130,1773,36,1,54885,4,54885,12.223417282104492,117.08043670654297,11.518823623657227,46805,7386,468,226,26866,28019,27785,27100,2474,435,37.24623555708081,1.1195413425492753,0.03819718634205488
131,1773,34,1,54723,4,54723,12.30789566040039,119.89505004882812,11.615581512451172,46635,7364,477,247,26717,28006,27687,27036,2524,449,37.11095385545269,1.1162066675511593,0.038931747617863624
132,1773,35,1,54829,4,54829,12.350980758666992,119.68034362792969,11.499517440795898,46621,7498,476,234,26732,28097,27644,27185,2570,455,37.09981300943626,1.1365178698124108,0.03885012969832932
133,1773,36,1,54663,4,54663,12.380971908569336,118.9725570678711,11.456478118896484,46413,7557,456,237,26564,28099,27542,27121,2568,429,36.93429186862069,1.1454608618528126,0.03721777130764321
134,1773,33,1,54557,4,54557,12.465569496154785,118.26293182373047,11.556022644042969,46210,7623,477,247,26514,28043,27517,27040,2660,448,36.772749601382415,1.1554648868471602,0.038931747617863624
135,1773,36,1,54501,4,54501,12.508319854736328,119.69664001464844,11.518284797668457,46086,7685,488,242,26358,28143,27460,27041,2746,474,36.67407353666544,1.164862607296396,0.03982954473274099
136,1773,35,1,54542,4,54542,12.578144073486328,119.32445526123047,11.577882766723633,46036,7748,508,250,26385,28157,27403,27139,2810,480,36.634284800892466,1.1744119038819096,0.04146190312342709
137,1773,34,1,54444,4,54444,12.611087799072266,118.53014373779297,11.643173217773438,45949,7709,525,261,26275,28169,27349,27095,2876,505,36.565052400647495,1.1685004345670678,0.04284940775551028
138,1773,36,1,54401,4,54401,12.61884593963623,119.03268432617188,11.542888641357422,45787,7828,538,248,26153,28248,27425,26976,2961,517,36.43613689674306,1.1865379947841492,0.04391044070945625
139,1773,35,1,54222,4,54222,12.624319076538086,119.79974365234375,11.523543357849121,45544,7889,545,244,26121,28101,27273,26949,2989,523,36.24276364088641,1.1957841390971071,0.04448176614619639
140,1773,33,1,54156,4,54156,12.639674186706543,119.81684875488281,11.469698905944824,45536,7822,553,245,26138,28018,27190,26966,3060,534,36.23639744316273,1.1856285379664813,0.04513470950247083
141,1773,33,1,54067,4,54067,12.658578872680664,119.8536148071289,11.48477554321289,45397,7843,581,246,26144,27923,27172,26895,2987,555,36.12578475771386,1.1888116368283193,0.047420011249431376
142,1773,33,1,53995,4,53995,12.653676986694336,119.79893493652344,11.479474067687988,45387,7786,568,254,26133,27862,27129,26866,3025,567,36.11782701055927,1.1801717970604735,0.04635897829548541
143,1773,36,1,53978,4,53978,12.67935562133789,119.85585021972656,11.459110260009766,45227,7938,581,232,26105,27873,27072,26906,3005,559,35.99050305608575,1.2032113697747289,0.047420011249431376
