frame,ego70_pcd_num_points,ego70_pcd_mean_range,ego70_pcd_max_range,ego70_pcd_std_range,ego70_pcd_near_20m,ego70_pcd_mid_20_50m,ego70_pcd_far_50_80m,ego70_pcd_very_far_80m,ego70_pcd_front_points,ego70_pcd_back_points,ego70_pcd_left_points,ego70_pcd_right_points,ego70_pcd_front_far_30m,ego70_pcd_front_far_50m,ego70_pcd_density_0_20,ego70_pcd_density_20_50,ego70_pcd_density_50_80
12,54955,10.942892074584961,72.82257843017578,9.224249839782715,50009,4048,898,0,26851,28104,28046,26909,2017,773,39.79589774541297,0.613580199653326,0.07329289174180616
13,54921,10.954940795898438,72.8140640258789,9.190299034118652,49888,4193,840,0,26808,28113,28122,26799,2001,722,39.69960900484237,0.6355587394136354,0.06855905240881645
14,54807,10.997199058532715,72.00762176513672,9.214734077453613,49675,4347,785,0,26715,28092,27938,26869,2020,661,39.530108990449506,0.6589014644004467,0.06407006683442966
15,54795,11.046494483947754,79.7137451171875,9.249184608459473,49618,4449,728,0,26655,28140,28004,26791,2052,607,39.48474983166831,0.6743622303008022,0.05941784542097426
16,54769,11.137886047363281,79.5944595336914,9.330918312072754,49358,4745,666,0,26552,28217,27891,26878,2121,549,39.27784840564885,0.719228766639089,0.05435753440984733
17,54804,11.180593490600586,80.00924682617188,9.31155776977539,49265,4940,598,1,26585,28219,27933,26871,2115,486,39.203841357111116,0.7487861132132981,0.048807515881514565
18,54619,11.217269897460938,80.34925842285156,9.289911270141602,48859,5184,572,4,26453,28166,27756,26863,2082,462,38.880756822634574,0.785770690465129,0.04668544997362263
19,54450,11.303606986999512,72.50212860107422,9.327768325805664,48497,5403,550,0,26345,28105,27634,26816,2038,427,38.59268637563824,0.8189658643100101,0.04488985574386791
20,54675,11.361207962036133,72.673583984375,9.29586410522461,48416,5734,525,0,26446,28229,27753,26922,2018,415,38.528228623686026,0.8691375654180266,0.04284940775551028
21,54252,11.40938949584961,73.38372802734375,9.263452529907227,47850,5896,506,0,26111,28141,27602,26650,2030,403,38.07782013473596,0.8936928994950618,0.04129866728435848
22,54256,11.4655179977417,75.69149780273438,9.296719551086426,47784,5961,511,0,26303,27953,27384,26872,2070,408,38.025299003515634,0.9035453483531316,0.04170675688203001
23,54264,11.499390602111816,72.75408935546875,9.259057998657227,47792,5999,473,0,26268,27996,27505,26759,2043,371,38.031665201239306,0.9093052415316955,0.03860527593972641
24,54028,11.59615707397461,73.50906372070312,9.32857608795166,47362,6194,472,0,26257,27771,27290,26738,2077,367,37.68948207359173,0.9388625881059045,0.0385236580201921
25,54156,11.652332305908203,73.03888702392578,9.41206169128418,47326,6337,493,0,26351,27805,27303,26853,2100,374,37.66083418383519,0.9605379755936579,0.04023763433041251
26,54084,11.679884910583496,76.78878021240234,9.425957679748535,47143,6444,497,0,26296,27788,27138,26946,2124,362,37.51520741090611,0.9767566221754034,0.04056410600854973
27,53974,11.753677368164062,75.43417358398438,9.494799613952637,46817,6653,504,0,26330,27644,27099,26875,2138,337,37.25578485366632,1.0084360346575045,0.04113543144528987
28,53931,11.799064636230469,80.07109832763672,9.440336227416992,46334,7137,459,1,26396,27535,27075,26856,2070,307,36.87142566609939,1.0817988846160544,0.03746262506624613
29,53947,11.835016250610352,79.97036743164062,9.485647201538086,46193,7295,459,0,26567,27380,26892,27055,1997,301,36.75922143121961,1.1057479141479776,0.03746262506624613
30,53915,11.888599395751953,80.15634155273438,9.533709526062012,46037,7403,474,1,26572,27343,26904,27011,1958,303,36.63508057560793,1.1221181368660011,0.03868689385926071
31,53844,11.899215698242188,72.81112670898438,9.596738815307617,46036,7325,483,0,26542,27302,26730,27114,1971,298,36.634284800892466,1.1102951982363176,0.03942145513506946
32,53882,11.920086860656738,75.2243423461914,9.587575912475586,46087,7326,469,0,26618,27264,26732,27150,1889,280,36.6748693113809,1.1104467743725954,0.03827880426158919
33,53957,11.956608772277832,75.24783325195312,9.632356643676758,46221,7275,461,0,26634,27323,26698,27259,1857,264,36.78150312325247,1.1027163914224178,0.037625860905314744
34,53943,11.999088287353516,76.31514739990234,9.725733757019043,46252,7202,489,0,26562,27381,26700,27243,1852,267,36.806172139431716,1.091651333474124,0.03991116265227529
35,54056,12.056058883666992,77.17655181884766,9.779730796813965,46268,7302,486,0,26689,27367,26684,27372,1873,252,36.81890453487907,1.1068089471019236,0.039666308893672377
36,54123,12.072161674499512,78.48091888427734,9.828426361083984,46337,7308,478,0,26524,27599,26696,27427,1854,243,36.87381299024577,1.1077184039195915,0.03901336553739793
37,54039,12.128049850463867,78.74559020996094,9.900877952575684,46200,7367,472,0,26590,27449,26649,27390,1848,239,36.76479185422782,1.1166613959599934,0.0385236580201921
38,54070,12.093704223632812,78.76693725585938,9.903810501098633,46331,7250,489,0,26617,27453,26600,27470,1781,248,36.869038341953015,1.098926988015468,0.03991116265227529
39,54136,12.124305725097656,78.78246307373047,9.955810546875,46390,7251,495,0,26570,27566,26618,27518,1712,234,36.91598905016512,1.0990785641517458,0.04040087016948112
40,53962,12.119308471679688,79.53721618652344,9.994400978088379,46296,7142,524,0,26516,27446,26438,27524,1697,243,36.84118622691193,1.0825567652974444,0.042767789835975976
41,53945,12.074265480041504,79.31233215332031,9.996227264404297,46403,7000,542,0,26331,27614,26505,27440,1594,239,36.9263341214661,1.0610329539459689,0.044236912387593474
42,54078,12.074511528015137,78.10057830810547,10.0044527053833,46598,6909,571,0,26426,27652,26416,27662,1522,236,37.081510190980694,1.0472395255446714,0.04660383205408833
43,54068,12.036222457885742,76.89097595214844,9.962839126586914,46755,6738,575,0,26443,27625,26418,27650,1402,222,37.20644682130783,1.021320006241134,0.046930303732225544
44,54109,11.988302230834961,75.7737045288086,9.91788101196289,46992,6508,609,0,26360,27749,26438,27671,1257,225,37.395045428871725,0.9864574948971951,0.04970531299639193
45,54029,11.952239036560059,80.4085693359375,9.914289474487305,46996,6415,617,1,26430,27599,26316,27713,1190,210,37.398228527733565,0.9723609142233416,0.05035825635266637
46,54012,11.931403160095215,78.86720275878906,9.933696746826172,46991,6393,628,0,26338,27674,26250,27762,1136,203,37.39424965415627,0.9690262392252257,0.05125605346754373
47,54005,11.918088912963867,79.39544677734375,9.990776062011719,47001,6327,677,0,26440,27565,26178,27827,1131,224,37.40220740131086,0.959022214230878,0.055255331524724685
48,54159,11.877059936523438,78.92633056640625,9.90559196472168,47215,6283,661,0,26561,27598,26311,27848,1062,194,37.57250319041919,0.9523528642346462,0.053949444812175805
49,53974,11.831868171691895,77.2024154663086,9.903457641601562,47129,6151,694,0,26498,27476,26175,27799,1031,209,37.504066564889676,0.9323448142459507,0.056642836156807874
50,53990,11.746086120605469,79.94517517089844,9.840032577514648,47337,5925,728,0,26542,27448,26079,27911,976,222,37.66958770570525,0.8980886074471237,0.05941784542097426
51,53926,11.716514587402344,80.6558837890625,9.813591957092285,47243,5903,778,2,26472,27454,26048,27878,968,216,37.59478488245205,0.8947539324490078,0.06349874139768952
52,53677,11.648776054382324,72.07012939453125,9.80101203918457,47211,5634,832,0,26346,27331,25892,27785,959,216,37.56932009155735,0.853979951790227,0.067906109052542
53,53742,11.648761749267578,73.5544204711914,9.870163917541504,47400,5445,897,0,26453,27289,25963,27779,1015,217,37.719721512779195,0.8253320620336858,0.07321127382227186
54,53779,11.612495422363281,73.55567932128906,9.870344161987305,47452,5396,931,0,26432,27347,25950,27829,1013,200,37.76110179798309,0.8179048313560641,0.07598628308643823
55,53779,11.617192268371582,73.57740020751953,9.959159851074219,47402,5396,981,0,26480,27299,25929,27850,1043,218,37.721313062210115,0.8179048313560641,0.0800671790631535
56,53737,11.545156478881836,74.02953338623047,9.937419891357422,47440,5349,948,0,26442,27295,25831,27906,1064,211,37.751552501397576,0.8107807529509983,0.07737378771852142
57,53777,11.507697105407715,74.88034057617188,9.96096420288086,47510,5295,972,0,26414,27363,25774,28003,1057,225,37.80725673147974,0.8025956415919865,0.07933261778734475
58,53699,11.469246864318848,72.37478637695312,9.997885704040527,47463,5255,981,0,26439,27260,25751,27948,1044,221,37.76985531985314,0.7965325961408667,0.0800671790631535
59,53681,11.431452751159668,72.95547485351562,9.998857498168945,47462,5266,953,0,26345,27336,25751,27930,1026,225,37.76905954513768,0.7981999336399247,0.07778187731619295
60,53771,11.381199836730957,74.99575805664062,9.992403984069824,47617,5200,954,0,26448,27323,25661,28110,1020,226,37.8924046260339,0.788195908645577,0.07786349523572725
61,53932,11.359021186828613,72.20902252197266,10.065747261047363,47831,5133,968,0,26510,27422,25707,28225,1076,244,38.06270041514223,0.7780403075149512,0.07900614610920753
62,53612,11.327265739440918,74.2151870727539,10.112037658691406,47547,5096,969,0,26379,27233,25598,28014,1057,257,37.83670039595174,0.7724319904726654,0.07908776402874183
63,53743,11.245086669921875,75.93324279785156,10.024251937866211,47634,5171,938,0,26382,27361,25709,28034,1050,243,37.90593279619671,0.7838002006935151,0.07655760852317837
64,53618,11.196183204650879,75.00692749023438,10.040386199951172,47497,5185,936,0,26396,27222,25572,28046,1032,247,37.796911660178765,0.785922266601407,0.07639437268410976
65,53717,11.132466316223145,76.89434051513672,10.0293550491333,47592,5197,928,0,26422,27295,25656,28061,1026,257,37.872510258147415,0.787741180236743,0.07574142932783531
66,53682,11.073349952697754,75.76428985595703,9.981058120727539,47566,5196,920,0,26366,27316,25615,28067,1027,264,37.851820115545465,0.787589604100465,0.07508848597156087
67,53639,10.965937614440918,76.810546875,9.918837547302246,47554,5196,889,0,26445,27194,25660,27979,993,257,37.84227081895995,0.787589604100465,0.07255833046599741
68,53667,10.860983848571777,75.7752914428711,9.805587768554688,47582,5201,884,0,26487,27180,25556,28111,989,255,37.864552510992816,0.7883474847818549,0.07215024086832589
69,53759,10.785727500915527,75.71881103515625,9.730698585510254,47634,5272,853,0,26402,27357,25727,28032,988,262,37.90593279619671,0.7991093904575927,0.06962008536276242
70,53511,10.68178653717041,75.12724304199219,9.641125679016113,47477,5201,833,0,26403,27108,25518,27993,938,264,37.780996165869574,0.7883474847818549,0.06798772697207632
71,53340,10.587181091308594,75.48745727539062,9.486092567443848,47253,5313,774,0,26329,27011,25482,27858,941,275,37.60274262960665,0.8053240120449905,0.0631722697195523
72,53442,10.49535083770752,74.59514617919922,9.36344051361084,47374,5321,747,0,26404,27038,25510,27932,925,286,37.699031370177245,0.8065366211352144,0.06096858589212606
73,53519,10.437475204467773,75.09573364257812,9.26037311553955,47387,5425,707,0,26515,27004,25600,27919,926,270,37.70937644147822,0.822300539308126,0.05770386911075385
74,53575,10.439492225646973,79.46723937988281,9.347251892089844,47442,5433,700,0,26540,27035,25578,27997,980,285,37.753144050828496,0.8235131483983499,0.05713254367401371
75,53674,10.539878845214844,79.63005828857422,9.695716857910156,47483,5419,772,0,26543,27131,25708,27966,1057,350,37.78577081416233,0.821391082490458,0.06300903388048369
76,53554,10.531627655029297,79.10858917236328,9.656503677368164,47456,5355,743,0,26539,27015,25625,27929,1036,347,37.76428489684493,0.8116902097686662,0.06064211421398884
77,53688,10.553997993469238,80.10952758789062,9.674152374267578,47705,5248,734,1,26583,27105,25640,28048,1081,356,37.962432800994335,0.7954715631869207,0.05990755293818009
78,53559,10.533439636230469,79.13031005859375,9.613677978515625,47704,5134,721,0,26534,27025,25692,27867,1067,353,37.96163702627887,0.7781918836512293,0.05884651998423412
79,53461,10.543712615966797,76.60564422607422,9.559782028198242,47666,5088,707,0,26503,26958,25534,27927,1122,366,37.93139758709142,0.7712193813824414,0.05770386911075385
80,53503,10.52016830444336,77.71517181396484,9.437202453613281,47749,5072,682,0,26457,27046,25621,27882,1119,365,37.99744688847455,0.7687941632019936,0.055663421122396216
81,53599,10.540382385253906,78.65498352050781,9.356289863586426,47753,5183,663,0,26480,27119,25736,27863,1116,365,38.00062998733639,0.785619114328851,0.054112680651244416
82,53670,10.550980567932129,79.64910125732422,9.282184600830078,47797,5255,618,0,26625,27045,25645,28025,1130,341,38.03564407481661,0.7965325961408667,0.050439874272200674
83,53615,10.566883087158203,77.8863754272461,9.256051063537598,47751,5258,606,0,26497,27118,25596,28019,1157,318,37.99903843790547,0.7969873245497007,0.04946045923778901
84,53568,10.539841651916504,78.31717681884766,9.100427627563477,47788,5208,572,0,26529,27039,25556,28012,1167,312,38.028482102377474,0.7894085177358009,0.04668544997362263
85,53361,10.557958602905273,79.71673583984375,9.078190803527832,47660,5156,545,0,26431,26930,25402,27959,1145,323,37.92662293879866,0.7815265586493452,0.04448176614619639
86,53415,10.555983543395996,78.87816619873047,9.04580020904541,47670,5202,543,0,26475,26940,25432,27983,1178,342,37.93458068595325,0.7884990609181329,0.044318530307127776
87,53463,10.529151916503906,79.3471908569336,8.91693115234375,47823,5087,553,0,26362,27101,25349,28114,1189,359,38.05633421741855,0.7710678052461635,0.04513470950247083
88,53405,10.668313026428223,80.11256408691406,9.169069290161133,47649,5104,651,1,26356,27049,25277,28128,1274,443,37.9178694169286,0.7736445995628893,0.05313326561683275
89,53458,10.692220687866211,76.32388305664062,9.139800071716309,47720,5088,650,0,26329,27129,25367,28091,1305,458,37.97436942172623,0.7712193813824414,0.05305164769729844
90,53467,10.745573997497559,80.29422760009766,9.123887062072754,47735,5093,638,1,26327,27140,25415,28052,1337,456,37.98630604245812,0.7719772620638314,0.05207223266288678
91,53570,10.776293754577637,79.87232208251953,9.054874420166016,47936,4999,635,0,26356,27214,25563,28007,1304,458,38.14625676026547,0.7577291052536999,0.05182737890428386
92,53565,10.810062408447266,79.88024139404297,9.005356788635254,48043,4900,622,0,26292,27273,25533,28032,1262,437,38.231404654819634,0.7427230677621782,0.050766345950337896
93,53545,10.887395858764648,79.12535095214844,9.02824592590332,48000,4911,634,0,26234,27311,25541,28004,1213,443,38.19718634205488,0.7443904052612362,0.05174576098474956
94,53571,10.968027114868164,79.71712493896484,9.091787338256836,47951,4950,670,0,26370,27201,25666,27905,1262,465,38.15819338099737,0.750301874576078,0.05468400608798455
95,53731,11.041053771972656,79.89193725585938,9.047269821166992,47950,5129,652,0,26452,27279,25674,28057,1260,454,38.157397606281904,0.7774340029698392,0.05321488353636705
96,53643,11.065232276916504,75.98954772949219,8.958735466003418,47874,5152,617,0,26437,27206,25662,27981,1255,423,38.09691872790699,0.7809202541042332,0.05035825635266637
97,53713,11.094657897949219,74.56391143798828,8.839750289916992,47906,5291,516,0,26515,27198,25737,27976,1280,330,38.12238351880169,0.8019893370468746,0.04211484647970153
98,53576,11.108649253845215,78.60772705078125,8.696436882019043,47746,5357,473,0,26481,27095,25713,27863,1226,270,37.99505956432817,0.8119933620412223,0.03860527593972641
99,53713,11.074461936950684,77.35346221923828,8.465252876281738,47942,5412,359,0,26558,27155,25860,27853,1175,159,38.15103140855823,0.820330049536512,0.029300833112815602
100,53730,11.100707054138184,79.7132339477539,8.47266674041748,47998,5379,353,0,26630,27100,25854,27876,1167,139,38.195594792623965,0.8153280370393382,0.02881112559560977
101,53515,11.098450660705566,74.39749908447266,8.385262489318848,47878,5299,338,0,26505,27010,25653,27862,1124,126,38.10010182676882,0.8032019461370985,0.02758685680259519
102,53490,11.100878715515137,72.88520050048828,8.39021110534668,47978,5183,329,0,26509,26981,25664,27826,1112,129,38.179679298314774,0.785619114328851,0.026852295526786443
103,53616,11.100015640258789,72.46306610107422,8.360198020935059,48263,5029,324,0,26614,27002,25736,27880,1111,120,38.406475092220724,0.7622763893420397,0.026444205929114915
104,53511,11.130572319030762,73.08509826660156,8.444236755371094,48213,4931,367,0,26626,26885,25628,27883,1127,128,38.36668635644775,0.7474219279867962,0.029953776469090046
105,53521,11.125497817993164,73.12155151367188,8.386588096618652,48275,4888,358,0,26509,27012,25742,27779,1121,136,38.416024388806235,0.7409041541268423,0.029219215193281297
106,53498,11.091055870056152,73.09624481201172,8.289687156677246,48318,4839,341,0,26640,26858,25691,27807,1083,138,38.45024270157099,0.7334769234492206,0.027831710561198108
107,53503,11.070574760437012,80.4231185913086,8.295387268066406,48290,4848,362,3,26762,26741,25658,27845,1052,143,38.42796100953813,0.7348411086757225,0.02954568687141852
108,53495,11.025944709777832,79.02436065673828,8.23568344116211,48366,4765,364,0,26686,26809,25803,27692,987,145,38.488439887913046,0.7222602893646489,0.02970892271048713
109,53591,11.0289306640625,80.27271270751953,8.258132934570312,48374,4841,374,2,26790,26801,25754,27837,982,152,38.494806085636725,0.7337800757217765,0.03052510190583018
110,53519,10.98316764831543,77.96394348144531,8.245382308959961,48359,4767,393,0,26733,26786,25672,27847,959,151,38.48286946490483,0.7225634416372049,0.03207584237698198
111,53318,10.914905548095703,79.08467864990234,8.182174682617188,48225,4716,377,0,26639,26679,25615,27703,923,147,38.37623565303326,0.7148330586870271,0.030769955664433097
112,54854,9.554926872253418,71.22673034667969,8.910595893859863,49607,4714,533,0,27511,27343,28526,26328,1149,92,39.47599630979826,0.7145299064144711,0.04350235111178472
113,54905,9.510372161865234,75.14934539794922,8.792288780212402,49728,4677,500,0,27546,27359,28566,26339,1145,90,39.572285050368855,0.7089215893721853,0.04080895976715265
114,54699,9.523099899291992,78.97533416748047,8.758199691772461,49522,4727,450,0,27413,27286,28382,26317,1145,80,39.408355458984204,0.7165003961860851,0.03672806379043739
115,54968,9.50707721710205,71.07923889160156,8.713918685913086,49787,4688,493,0,27503,27465,28529,26439,1172,81,39.61923575858096,0.7105889268712432,0.04023763433041251
116,54832,9.519015312194824,71.63166809082031,8.781728744506836,49690,4633,509,0,27532,27300,28563,26269,1130,73,39.54204561118139,0.7022522393759535,0.0415435210429614
117,54783,9.525341033935547,71.11695861816406,8.741626739501953,49643,4654,486,0,27529,27254,28505,26278,1102,73,39.504644199554804,0.7054353382377914,0.039666308893672377
118,54817,9.546050071716309,70.91506958007812,8.749839782714844,49646,4689,482,0,27484,27333,28427,26390,1126,65,39.50703152370118,0.7107405030075212,0.039339837215535155
119,54851,9.571964263916016,70.915283203125,8.827033042907715,49679,4668,504,0,27588,27263,28529,26322,1136,66,39.53329208931134,0.7075574041456834,0.04113543144528987
120,54917,9.584959983825684,71.31243896484375,8.7995023727417,49725,4705,487,0,27585,27332,28594,26323,1140,74,39.56989772622248,0.7131657211879692,0.03974792681320668
121,54854,9.579460144042969,70.94284057617188,8.782625198364258,49681,4686,487,0,27559,27295,28506,26348,1170,71,39.53488363874226,0.7102857745986872,0.03974792681320668
122,54775,9.580632209777832,80.7708740234375,8.749329566955566,49641,4695,438,1,27510,27265,28473,26302,1217,74,39.503052650123884,0.7116499598251892,0.03574864875602572
123,54798,9.588727951049805,79.24226379394531,8.763925552368164,49651,4693,454,0,27555,27243,28408,26390,1234,71,39.511010397278476,0.7113468075526332,0.0370545354685746
124,54718,9.602605819702148,78.43856048583984,8.743555068969727,49546,4726,446,0,27461,27257,28464,26254,1250,69,39.427454052155234,0.716348820049807,0.036401592112300166
125,54768,9.617286682128906,77.95661163330078,8.789155006408691,49591,4717,460,0,27504,27264,28454,26314,1278,77,39.46326391435091,0.7149846348233051,0.037544242985780435
126,54844,9.595229148864746,78.00531005859375,8.742551803588867,49709,4693,442,0,27465,27379,28499,26345,1294,77,39.55716533077513,0.7113468075526332,0.036075120434162944
127,54773,9.605718612670898,77.964111328125,8.760939598083496,49620,4714,439,0,27460,27313,28487,26286,1297,72,39.48634138109923,0.7145299064144711,0.035830266675560024
128,54781,9.61167049407959,71.8783187866211,8.73945140838623,49630,4713,438,0,27535,27246,28493,26288,1287,69,39.49429912825383,0.7143783302781931,0.03574864875602572
129,54591,9.624885559082031,77.98847961425781,8.772579193115234,49470,4672,449,0,27360,27231,28399,26192,1302,81,39.36697517378031,0.7081637086907953,0.03664644587090308
130,54771,9.635991096496582,71.8626480102539,8.791991233825684,49609,4715,447,0,27487,27284,28485,26286,1302,78,39.47758785922918,0.7146814825507491,0.03648321003183447
131,54687,9.641695976257324,71.87106323242188,8.782913208007812,49560,4681,446,0,27527,27160,28530,26157,1318,83,39.438594898171665,0.7095278939172972,0.036401592112300166
132,54751,9.646824836730957,77.97905731201172,8.756560325622559,49602,4713,436,0,27452,27299,28491,26260,1338,80,39.47201743622096,0.7143783302781931,0.03558541291695711
133,54720,9.689813613891602,77.97808074951172,8.834954261779785,49518,4761,441,0,27445,27275,28503,26217,1374,80,39.405172360122364,0.7216539848195369,0.035993502514628635
134,54696,9.692447662353516,77.98389434814453,8.8041353225708,49520,4745,431,0,27439,27257,28458,26238,1375,83,39.406763909553284,0.719228766639089,0.03517732331928558
135,54806,9.704516410827637,71.85124206542969,8.81641960144043,49548,4829,429,0,27425,27381,28602,26204,1370,79,39.429045601586154,0.7319611620864406,0.03501408748021698
136,54744,9.718696594238281,77.9961166381836,8.792333602905273,49460,4864,420,0,27438,27306,28431,26313,1369,81,39.35901742662572,0.7372663268561704,0.034279526204408224
137,54654,9.729571342468262,77.99786376953125,8.80298900604248,49362,4864,428,0,27420,27234,28365,26289,1368,85,39.281031504510686,0.7372663268561704,0.03493246956068267
138,54804,9.742104530334473,78.00347900390625,8.806012153625488,49449,4926,429,0,27429,27375,28504,26300,1418,85,39.350263904755664,0.7466640473054061,0.03501408748021698
139,54769,9.742565155029297,77.96605682373047,8.768651962280273,49385,4968,416,0,27407,27362,28486,26283,1418,76,39.29933432296625,0.753030245029082,0.033953054526271
140,54743,9.724737167358398,77.86336517333984,8.74448013305664,49332,4982,429,0,27479,27264,28529,26214,1443,87,39.257158263046904,0.7551523109369739,0.03501408748021698
141,54750,9.743499755859375,70.929931640625,8.763524055480957,49282,5046,422,0,27526,27224,28502,26248,1436,85,39.21736952727393,0.7648531836587656,0.034442762043476835
142,54744,9.763822555541992,71.41735076904297,8.776819229125977,49204,5124,416,0,27469,27275,28473,26271,1454,92,39.15529909946809,0.7766761222884493,0.033953054526271
143,54723,9.754935264587402,71.08172607421875,8.741277694702148,49170,5135,418,0,27436,27287,28413,26310,1404,90,39.128242759142466,0.7783434597875072,0.03411629036533961
144,54707,9.754847526550293,73.25089263916016,8.764942169189453,49212,5057,438,0,27448,27259,28405,26302,1417,103,39.16166529719177,0.7665205211578235,0.03574864875602572
145,54716,9.765562057495117,72.46312713623047,8.741230010986328,49221,5067,428,0,27406,27310,28418,26298,1413,106,39.1688272696309,0.7680362825206035,0.03493246956068267
146,54866,9.735820770263672,72.09207153320312,8.738350868225098,49435,5008,423,0,27523,27343,28523,26343,1425,97,39.33912305873923,0.7590932904802018,0.034524379963011144
147,54797,9.7554349899292,72.37953186035156,8.750214576721191,49409,4957,431,0,27403,27394,28472,26325,1442,112,39.31843291613728,0.751362907530024,0.03517732331928558
148,54639,9.791022300720215,72.2383804321289,8.839921951293945,49238,4966,435,0,27374,27265,28396,26243,1447,102,39.18235543979371,0.7527270927565259,0.0355037949974228
149,54655,9.793272972106934,73.02812194824219,8.835275650024414,49203,5022,430,0,27435,27220,28414,26241,1440,108,39.15450332475263,0.7612153563880937,0.03509570539975128
150,54869,9.761003494262695,73.29564666748047,8.808198928833008,49477,4964,428,0,27606,27263,28563,26306,1417,105,39.37254559678853,0.75242394048397,0.03493246956068267
151,54785,9.785591125488281,73.61891174316406,8.868075370788574,49352,4993,440,0,27577,27208,28556,26229,1443,114,39.273073757356094,0.7568196484360319,0.03591188459509433
152,54703,9.778422355651855,71.8078384399414,8.849992752075195,49431,4841,431,0,27411,27292,28479,26224,1403,102,39.33593995987739,0.7337800757217765,0.03517732331928558
153,54725,9.778698921203613,75.71743774414062,8.835843086242676,49501,4813,411,0,27580,27145,28460,26265,1389,94,39.39164418995956,0.7295359439059926,0.03354496492859948
154,54784,9.780681610107422,71.15557098388672,8.845528602600098,49547,4830,407,0,27443,27341,28530,26254,1381,101,39.42824982687069,0.7321127382227186,0.03321849325046226
155,54777,9.80151653289795,71.8119125366211,8.83803939819336,49534,4847,396,0,27432,27345,28545,26232,1412,99,39.417904755569715,0.7346895325394445,0.0323206961355849
156,54653,9.808961868286133,71.92082977294922,8.849324226379395,49414,4844,395,0,27297,27356,28483,26170,1423,104,39.32241178971458,0.7342348041306105,0.03223907821605059
157,54715,9.816394805908203,71.09854888916016,8.855074882507324,49386,4911,418,0,27304,27411,28425,26290,1405,100,39.300130097681716,0.7443904052612362,0.03411629036533961
158,54830,9.811607360839844,75.82339477539062,8.83179759979248,49448,4967,415,0,27415,27415,28521,26309,1421,110,39.3494681300402,0.752878668892804,0.0338714366067367
159,54765,9.810750007629395,70.8725814819336,8.793434143066406,49350,5019,396,0,27246,27519,28526,26239,1436,99,39.271482207925175,0.7607606279792597,0.0323206961355849
160,54709,9.833958625793457,73.10855865478516,8.7848539352417,49187,5149,373,0,27399,27310,28555,26154,1459,102,39.14177092930528,0.7804655256953992,0.030443483986295875
161,54593,9.823927879333496,76.83316802978516,8.777189254760742,49199,4990,404,0,27257,27336,28440,26153,1455,96,39.15132022589079,0.7563649200271979,0.032973639491859344
162,54569,9.852339744567871,77.62691497802734,8.812037467956543,49213,4936,420,0,27186,27383,28378,26191,1358,95,39.162461071907224,0.7481798086681861,0.034279526204408224
163,54585,9.84633731842041,78.91026306152344,8.782938957214355,49352,4813,420,0,27216,27369,28389,26196,1293,114,39.273073757356094,0.7295359439059926,0.034279526204408224
164,54536,9.860191345214844,79.56580352783203,8.816155433654785,49320,4799,417,0,27132,27404,28399,26137,1304,117,39.24760896646139,0.7274138779981008,0.03403467244580531
