frame,snr_db,channel,eff_E,eff_L,eff_F,bler_F,raw_oracle,frozen_lambda_clairvoyant,rf,e_class
35,8.109,awgn,0.77778,0.97561,0.85349,0.38052,L,L,L,
36,12.942,rayleigh,0.71795,0.93333,0.71795,1.0,L,L,L,
37,1.894,rayleigh,0.74419,0.93878,0.74419,1.0,L,L,L,
38,17.944,rayleigh,0.80952,0.93617,0.80952,1.0,L,L,L,
39,6.365,rayleigh,0.7907,0.93617,0.7907,1.0,L,L,L,
40,10.782,rayleigh,0.81818,0.96,0.81818,1.0,L,L,L,
41,19.048,rayleigh,0.75556,0.94118,0.75556,1.0,L,L,L,
42,4.944,awgn,0.80851,0.96296,0.80851,1.0,L,L,L,
43,8.838,awgn,0.80851,0.94545,0.8963,0.23372,L,L,L,
44,16.09,awgn,0.80851,0.96296,0.9434,0.0,L,L,L,
45,19.307,rayleigh,0.80851,0.92593,0.80851,1.0,L,L,L,
46,7.361,awgn,0.80851,0.92593,0.84186,0.7841,L,L,L,
47,16.782,awgn,0.80851,0.94545,0.92593,0.0,L,L,L,
48,2.866,rayleigh,0.80851,0.92593,0.80851,1.0,L,L,L,
49,19.8,awgn,0.77551,0.89655,0.98182,0.0,F,F,F,
50,12.411,awgn,0.77551,0.89655,1.0,0.0,F,F,F,
51,1.647,awgn,0.77551,0.87719,0.77551,1.0,L,L,L,
52,18.183,rayleigh,0.80851,0.87273,0.80851,1.0,L,L,L,
53,12.899,awgn,0.80851,0.96296,0.96296,0.0,L,L,L,
54,3.701,rayleigh,0.80851,0.92857,0.80851,1.0,L,L,L,
55,9.794,rayleigh,0.80851,0.96296,0.80851,1.0,L,L,L,
56,0.525,rayleigh,0.80851,0.9434,0.80851,1.0,L,L,L,
57,8.089,awgn,0.80851,0.92593,0.92639,0.38442,F,L,L,
58,3.953,rayleigh,0.79167,0.93103,0.79167,1.0,L,L,L,
59,7.096,rayleigh,0.79167,0.86207,0.79167,1.0,L,L,L,
60,6.032,rayleigh,0.80851,0.90566,0.80851,1.0,L,L,L,
61,18.826,awgn,0.79167,0.85714,0.98182,0.0,F,F,F,
62,6.703,rayleigh,0.80851,0.94545,0.80851,1.0,L,L,L,
63,13.568,rayleigh,0.79167,0.87719,0.79167,1.0,L,L,L,
64,12.96,rayleigh,0.76596,0.94545,0.76596,1.0,L,L,L,
65,12.502,rayleigh,0.78261,0.92593,0.78261,1.0,L,L,L,
66,3.783,rayleigh,0.78261,0.92857,0.78261,1.0,L,L,L,
67,17.952,awgn,0.75556,0.96296,0.98182,0.0,F,L,L,
68,9.568,awgn,0.71111,0.92857,0.95826,0.08701,F,F,F,
69,18.76,awgn,0.75556,0.92857,0.98182,0.0,F,F,F,
70,10.698,awgn,0.75556,0.96296,1.0,0.0,F,F,F,
71,10.077,rayleigh,0.75556,0.94545,0.75556,1.0,L,L,L,
72,4.614,awgn,0.72727,0.89286,0.72727,1.0,L,L,L,
73,8.13,awgn,0.71111,0.92857,0.856,0.37626,L,L,L,
74,0.954,rayleigh,0.73913,0.92857,0.73913,1.0,L,L,L,
75,17.719,awgn,0.75556,0.94545,0.96296,0.0,F,L,L,
76,10.909,awgn,0.72727,0.96429,0.98182,0.0,F,L,L,
77,11.985,rayleigh,0.71111,0.94545,0.71111,1.0,L,L,L,
78,6.352,awgn,0.69767,0.96296,0.69767,1.0,L,L,L,
79,8.777,rayleigh,0.72727,0.98182,0.72727,1.0,L,L,L,
80,6.58,awgn,0.71111,0.87719,0.71111,1.0,L,L,L,
81,7.065,rayleigh,0.66667,0.92857,0.66667,1.0,L,L,L,
82,0.683,awgn,0.72727,0.92857,0.72727,1.0,L,L,L,
83,3.798,rayleigh,0.73913,0.85714,0.73913,1.0,L,L,L,
84,18.006,awgn,0.71111,0.96429,0.98182,0.0,F,L,L,
85,6.814,rayleigh,0.75556,0.91228,0.75556,1.0,L,L,L,
86,3.156,rayleigh,0.71111,0.90909,0.71111,1.0,L,L,L,
87,19.224,awgn,0.71111,0.94737,0.90196,0.0,L,L,L,
88,6.212,rayleigh,0.72727,0.93103,0.72727,1.0,L,L,L,
89,4.862,rayleigh,0.72727,0.91525,0.72727,1.0,L,L,L,
90,14.775,awgn,0.72727,0.91525,0.88,0.0,L,L,L,
91,15.001,awgn,0.7907,0.9434,0.88,0.0,L,L,L,
92,4.399,rayleigh,0.74419,0.92593,0.74419,1.0,L,L,L,
93,6.782,rayleigh,0.77273,0.92857,0.77273,1.0,L,L,L,
94,1.888,rayleigh,0.72727,0.92308,0.72727,1.0,L,L,L,
95,6.341,rayleigh,0.74419,0.90566,0.74419,1.0,L,L,L,
96,15.321,rayleigh,0.71429,0.90909,0.71429,1.0,L,L,L,
97,4.684,awgn,0.65,0.96154,0.65,1.0,L,L,L,
98,5.62,rayleigh,0.68182,0.9434,0.68182,1.0,L,L,L,
99,14.626,awgn,0.69767,0.96296,0.98113,0.0,F,L,L,
100,2.051,awgn,0.75556,0.92593,0.75556,1.0,L,L,L,
101,11.96,rayleigh,0.75556,0.89286,0.75556,1.0,L,L,L,
102,19.166,awgn,0.72727,0.88462,0.96296,0.0,F,F,F,
103,6.76,awgn,0.77273,0.96154,0.77273,1.0,L,L,L,
104,15.451,rayleigh,0.73913,0.90909,0.73913,1.0,L,L,L,
105,5.524,rayleigh,0.75556,0.9434,0.75556,1.0,L,L,L,
106,15.453,rayleigh,0.73913,0.88889,0.73913,1.0,L,L,L,
107,18.185,rayleigh,0.69565,0.90566,0.69565,1.0,L,L,L,
108,11.042,rayleigh,0.75556,0.90566,0.75556,1.0,L,L,L,
109,3.939,rayleigh,0.73913,0.92593,0.73913,1.0,L,L,L,
110,16.997,rayleigh,0.73913,0.90909,0.73913,1.0,L,L,L,
111,18.192,rayleigh,0.73913,0.90566,0.73913,1.0,L,L,L,
112,6.295,rayleigh,0.83333,1.0,0.83333,1.0,L,L,L,
113,7.498,rayleigh,0.83333,1.0,0.83333,1.0,L,L,L,
114,2.316,rayleigh,0.85714,1.0,0.85714,1.0,L,L,L,
115,8.416,awgn,0.83333,0.98182,0.93492,0.31879,L,L,L,
116,19.833,rayleigh,0.83333,1.0,0.83333,1.0,L,L,L,
117,19.211,awgn,0.85714,1.0,1.0,0.0,L,L,L,
118,16.006,awgn,0.88,1.0,1.0,0.0,L,L,L,
119,14.21,rayleigh,0.90196,1.0,0.90196,1.0,L,L,L,
120,0.16,rayleigh,0.85106,0.96296,0.85106,1.0,L,L,L,
121,11.89,awgn,0.78261,0.96154,0.98113,0.0,F,F,L,
122,5.285,awgn,0.82609,0.96154,0.82609,1.0,L,L,L,
123,4.583,rayleigh,0.76596,0.9434,0.76596,1.0,L,L,L,
124,1.517,rayleigh,0.76596,0.96296,0.76596,1.0,L,L,L,
125,3.858,awgn,0.80851,0.96296,0.80851,1.0,L,L,L,
126,18.446,awgn,0.78261,0.96296,1.0,0.0,F,F,F,
127,14.093,rayleigh,0.79167,0.96296,0.79167,1.0,L,L,L,
128,19.436,awgn,0.83333,0.98182,1.0,0.0,F,L,L,
129,9.656,awgn,0.83333,0.98182,0.98847,0.06915,F,L,L,
130,5.138,rayleigh,0.85106,0.96154,0.85106,1.0,L,L,L,
131,17.658,rayleigh,0.82609,0.96154,0.82609,1.0,L,L,L,
132,7.711,awgn,0.82609,0.98113,0.90003,0.57484,L,L,L,
133,12.74,awgn,0.82609,0.98113,1.0,0.0,F,L,L,
134,11.695,awgn,0.8,0.98113,1.0,0.0,F,L,L,
135,16.523,awgn,0.8,0.96154,0.96296,0.0,F,L,L,
136,4.809,rayleigh,0.875,1.0,0.875,1.0,L,L,L,
137,9.379,rayleigh,0.875,1.0,0.875,1.0,L,L,L,
138,14.288,rayleigh,0.875,1.0,0.875,1.0,L,L,L,
139,1.272,rayleigh,0.89796,1.0,0.89796,1.0,L,L,L,
140,1.993,awgn,0.89796,1.0,0.89796,1.0,L,L,L,
141,15.848,rayleigh,0.83333,0.98113,0.83333,1.0,L,L,L,
142,17.949,rayleigh,0.85714,1.0,0.85714,1.0,L,L,L,
143,3.531,rayleigh,0.80851,0.98113,0.80851,1.0,L,L,L,
144,12.147,awgn,0.875,1.0,1.0,0.0,L,L,L,
145,14.918,awgn,0.82609,0.98113,0.98113,0.0,L,L,L,
146,19.059,awgn,0.82609,0.98113,0.98113,0.0,L,L,L,
147,0.203,rayleigh,0.82609,0.98113,0.82609,1.0,L,L,L,
148,18.392,rayleigh,0.82609,0.98113,0.82609,1.0,L,L,L,
149,18.387,awgn,0.85106,0.98113,0.98113,0.0,L,L,L,
150,4.517,rayleigh,0.86957,0.98113,0.86957,1.0,L,L,L,
151,0.374,rayleigh,0.86957,0.98113,0.86957,1.0,L,L,L,
152,12.43,rayleigh,0.86957,1.0,0.86957,1.0,L,L,L,
153,1.031,awgn,0.86957,1.0,0.86957,1.0,L,L,L,
154,5.621,awgn,0.86957,1.0,0.86957,1.0,L,L,L,
155,4.479,awgn,0.84444,1.0,0.84444,1.0,L,L,L,
156,3.791,rayleigh,0.88889,1.0,0.88889,1.0,L,L,L,
157,5.375,rayleigh,0.86364,0.97959,0.86364,1.0,L,L,L,
158,10.731,awgn,0.86364,1.0,0.97959,0.0,L,L,L,
159,10.428,awgn,0.86364,1.0,0.97959,0.0,L,L,L,
160,4.351,rayleigh,0.86364,1.0,0.86364,1.0,L,L,L,
161,7.88,rayleigh,0.81818,1.0,0.81818,1.0,L,L,L,
162,12.055,awgn,0.88889,1.0,1.0,0.0,L,L,L,
163,11.633,awgn,0.88889,1.0,1.0,0.0,L,L,L,
164,2.043,rayleigh,0.81818,1.0,0.81818,1.0,L,L,L,
165,13.843,awgn,0.81818,1.0,1.0,0.0,L,L,L,
166,8.156,rayleigh,0.7907,1.0,0.7907,1.0,L,L,L,
167,1.19,rayleigh,0.83721,1.0,0.83721,1.0,L,L,L,
168,10.639,awgn,0.7907,1.0,0.97959,0.0,L,L,L,
169,4.097,awgn,0.80952,1.0,0.80952,1.0,L,L,L,
170,4.79,awgn,0.80952,1.0,0.80952,1.0,L,L,L,
171,3.147,rayleigh,0.83721,1.0,0.83721,1.0,L,L,L,
172,9.617,awgn,0.82927,1.0,0.98685,0.077,L,L,L,
173,3.606,rayleigh,0.78049,1.0,0.78049,1.0,L,L,L,
174,13.981,rayleigh,0.82927,1.0,0.82927,1.0,L,L,L,
175,6.465,awgn,0.82927,1.0,0.82927,1.0,L,L,L,
176,3.938,awgn,0.82927,1.0,0.82927,1.0,L,L,L,
177,14.864,awgn,0.85714,1.0,1.0,0.0,L,L,L,
178,8.918,awgn,0.85714,1.0,0.95226,0.21767,L,L,L,
179,15.723,awgn,0.85714,1.0,0.97872,0.0,L,L,L,
180,5.605,awgn,0.85714,1.0,0.85714,1.0,L,L,L,
181,9.927,rayleigh,0.85714,1.0,0.85714,1.0,L,L,L,
182,4.539,rayleigh,0.85714,0.97872,0.85714,1.0,L,L,L,
183,9.156,awgn,0.85714,1.0,0.95808,0.16983,L,L,L,
184,7.328,awgn,0.82927,0.97872,0.85857,0.80396,L,L,L,
185,2.939,awgn,0.87805,1.0,0.87805,1.0,L,L,L,
186,7.478,awgn,0.82051,0.95455,0.87175,0.71451,L,L,L,
187,2.964,awgn,0.82051,0.95455,0.82051,1.0,L,L,L,
188,19.127,rayleigh,0.76923,0.93333,0.76923,1.0,L,L,L,
189,10.05,rayleigh,0.8,0.95652,0.8,1.0,L,L,L,
190,3.658,rayleigh,0.78947,0.93023,0.78947,1.0,L,L,L,
191,17.902,rayleigh,0.78947,0.93023,0.78947,1.0,L,L,L,
192,9.421,awgn,0.82051,0.95455,0.95945,0.11654,F,L,L,
193,6.804,rayleigh,0.82051,0.95455,0.82051,1.0,L,L,L,
194,14.557,awgn,0.82051,0.95455,0.93023,0.0,L,L,L,
195,5.714,rayleigh,0.82051,0.95455,0.82051,1.0,L,L,L,
196,14.667,rayleigh,0.78947,0.93023,0.78947,1.0,L,L,L,
197,2.299,awgn,0.78947,0.90476,0.78947,1.0,L,L,L,
198,14.486,awgn,0.78947,0.93023,0.95455,0.0,F,F,L,
199,6.221,awgn,0.78947,0.90909,0.78947,1.0,L,L,L,
200,13.162,rayleigh,0.81081,0.92683,0.81081,1.0,L,L,L,
201,13.245,awgn,0.81081,0.95238,0.92683,0.0,L,L,L,
202,8.581,rayleigh,0.81081,0.95238,0.81081,1.0,L,L,L,
203,9.527,rayleigh,0.78947,0.90476,0.78947,1.0,L,L,L,
204,19.666,rayleigh,0.81081,0.95238,0.81081,1.0,L,L,L,
205,2.364,rayleigh,0.8,0.95,0.8,1.0,L,L,L,
206,17.695,awgn,0.76471,0.92308,0.97561,0.0,F,F,L,
207,13.487,rayleigh,0.8,0.95,0.8,1.0,L,L,L,
208,13.399,rayleigh,0.8,0.9,0.8,1.0,L,L,L,
209,9.324,rayleigh,0.74286,0.85,0.74286,1.0,L,L,L,
210,7.124,awgn,0.74286,0.85,0.75451,0.92585,L,L,L,
211,16.369,rayleigh,0.74286,0.87179,0.74286,1.0,L,L,L,
212,17.371,rayleigh,0.74286,0.87179,0.74286,1.0,L,L,L,
213,19.284,rayleigh,0.74286,0.87179,0.74286,1.0,L,L,L,
214,19.62,awgn,0.74286,0.87179,0.87179,0.0,L,L,L,
215,2.631,awgn,0.76471,0.86486,0.76471,1.0,L,L,L,
216,10.106,rayleigh,0.78788,0.88889,0.78788,1.0,L,L,L,
217,11.354,awgn,0.75,0.88889,0.94737,0.0,F,F,F,
218,19.327,rayleigh,0.72727,0.88889,0.72727,1.0,L,L,L,
219,7.17,awgn,0.70968,0.88889,0.73649,0.89869,L,L,L,
220,2.277,awgn,0.8,0.94118,0.8,1.0,L,L,L,
221,3.797,awgn,0.75,0.91429,0.75,1.0,L,L,L,
222,12.274,awgn,0.70968,0.88235,0.91429,0.0,F,F,F,
223,19.587,awgn,0.77419,0.84848,0.91429,0.0,F,F,F,
224,18.603,awgn,0.77419,0.8125,0.91429,0.0,F,F,F,
225,17.391,awgn,0.75862,0.8125,0.90909,0.0,F,F,F,
226,2.954,awgn,0.75862,0.83871,0.75862,1.0,L,L,L,
227,2.334,rayleigh,0.8,0.875,0.8,1.0,L,L,L,
228,4.532,rayleigh,0.8,0.875,0.8,1.0,L,L,L,
229,15.096,awgn,0.8,0.875,0.875,0.0,L,L,F,
230,8.791,awgn,0.8,0.875,0.88256,0.24319,F,L,L,
231,7.307,rayleigh,0.75862,0.875,0.75862,1.0,L,L,L,
232,9.217,rayleigh,0.75862,0.875,0.75862,1.0,L,L,L,
233,0.852,awgn,0.74074,0.86667,0.74074,1.0,L,L,L,
234,7.582,rayleigh,0.76923,0.89655,0.76923,1.0,L,L,L,
235,17.315,rayleigh,0.81481,0.89655,0.81481,1.0,L,L,L,
236,19.645,rayleigh,0.78571,0.86667,0.78571,1.0,L,L,L,
237,3.785,awgn,0.86667,0.90323,0.86667,1.0,L,L,L,
238,4.964,awgn,0.86667,0.90323,0.86667,1.0,L,L,L,
239,6.914,rayleigh,0.78571,0.89655,0.78571,1.0,L,L,L,
240,16.639,awgn,0.76923,0.82759,0.93333,0.0,F,F,F,
241,3.269,rayleigh,0.81481,0.89655,0.81481,1.0,L,L,L,
242,7.187,awgn,0.81481,0.86667,0.82805,0.88836,L,L,L,
243,17.871,rayleigh,0.76923,0.85714,0.76923,1.0,L,L,L,
244,3.554,awgn,0.72,0.85714,0.72,1.0,L,L,L,
245,3.771,rayleigh,0.72,0.85714,0.72,1.0,L,L,L,
246,16.847,awgn,0.75,0.88889,0.92857,0.0,F,F,F,
247,0.255,rayleigh,0.75,0.88889,0.75,1.0,L,L,L,
248,0.05,rayleigh,0.75,0.88889,0.75,1.0,L,L,L,
249,2.08,rayleigh,0.69565,0.84615,0.69565,1.0,L,L,L,
250,13.433,rayleigh,0.6087,0.76923,0.6087,1.0,L,L,L,
251,16.573,awgn,0.78261,0.8,0.84615,0.0,F,F,F,
252,10.933,awgn,0.69565,0.75,0.83333,0.0,F,F,F,
253,18.754,rayleigh,0.72727,0.78261,0.72727,1.0,L,L,L,
254,6.7,awgn,0.69565,0.75,0.69565,1.0,L,L,L,
255,10.38,awgn,0.66667,0.72727,0.78261,0.0,F,F,F,
256,18.043,rayleigh,0.63636,0.69565,0.63636,1.0,L,L,L,
257,19.33,awgn,0.66667,0.72727,0.83333,0.0,F,F,F,
258,3.008,awgn,0.63636,0.69565,0.63636,1.0,L,L,L,
259,15.407,rayleigh,0.7,0.7619,0.7,1.0,L,L,L,
260,0.86,awgn,0.7,0.7619,0.7,1.0,L,L,L,
261,17.752,rayleigh,0.7,0.7619,0.7,1.0,L,L,L,
262,19.87,awgn,0.7,0.7619,0.86957,0.0,F,F,F,
263,6.952,rayleigh,0.7,0.7619,0.7,1.0,L,L,L,
264,4.356,awgn,0.7,0.7619,0.7,1.0,L,L,L,
265,10.844,rayleigh,0.7,0.7619,0.7,1.0,L,L,L,
266,10.019,rayleigh,0.73684,0.8,0.73684,1.0,L,L,L,
267,7.392,awgn,0.73684,0.8,0.78825,0.76601,L,L,F,
268,2.249,rayleigh,0.66667,0.73684,0.66667,1.0,L,L,L,
269,5.38,rayleigh,0.85714,0.90909,0.85714,1.0,L,L,L,
270,15.644,awgn,0.78261,0.83333,0.95238,0.0,F,F,F,
271,13.57,rayleigh,0.90909,0.95652,0.90909,1.0,L,L,L,
272,10.176,awgn,0.86957,0.91667,1.0,0.0,F,F,F,
273,6.724,rayleigh,0.83333,0.88,0.83333,1.0,L,L,L,
274,6.726,rayleigh,0.90909,0.95652,0.90909,1.0,L,L,L,
275,17.235,awgn,0.90909,0.91667,0.95652,0.0,F,F,F,
276,19.784,awgn,0.90909,0.95652,0.95238,0.0,L,L,L,
277,4.407,rayleigh,0.85714,0.90909,0.85714,1.0,L,L,L,
278,9.349,rayleigh,0.81818,0.95652,0.81818,1.0,L,L,L,
279,8.134,rayleigh,0.81818,0.83333,0.81818,1.0,L,L,L,
280,7.874,awgn,0.95238,0.90909,0.95238,0.4775,E,E,E,tie
281,6.16,rayleigh,0.85714,0.90909,0.85714,1.0,L,L,L,
282,1.097,awgn,0.85714,0.86957,0.85714,1.0,L,L,L,
283,5.856,rayleigh,0.85714,0.90909,0.85714,1.0,L,L,L,
284,18.879,awgn,0.85714,0.90909,0.90909,0.0,L,L,L,
285,6.9,awgn,0.86957,0.88,0.86957,1.0,L,L,L,
286,4.455,rayleigh,0.90909,0.91667,0.90909,1.0,L,L,L,
287,7.473,awgn,0.90909,0.95652,0.91123,0.71747,L,L,L,
288,1.289,awgn,0.88,0.92308,0.88,1.0,L,L,L,
289,8.694,rayleigh,0.96,1.0,0.96,1.0,L,L,L,
290,9.408,rayleigh,0.8,0.84615,0.8,1.0,L,L,L,
291,18.132,rayleigh,0.76923,0.81481,0.76923,1.0,L,L,L,
292,14.645,rayleigh,0.88,0.84615,0.88,1.0,E,E,E,strict
293,13.058,awgn,0.83333,0.84615,1.0,0.0,F,F,F,
294,18.164,rayleigh,0.96,0.96296,0.96,1.0,L,L,L,
295,3.124,awgn,0.91667,0.96,0.91667,1.0,L,L,L,
296,18.055,awgn,0.91667,0.92308,0.96,0.0,F,F,F,
297,0.302,awgn,0.88,0.92308,0.88,1.0,L,L,L,
298,15.308,rayleigh,0.88,0.88889,0.88,1.0,L,L,L,
299,18.127,rayleigh,0.88,0.88889,0.88,1.0,L,L,L,
300,15.395,awgn,0.96,0.96296,0.96296,0.0,L,L,L,
301,10.383,rayleigh,0.96296,1.0,0.96296,1.0,L,L,L,
302,15.511,rayleigh,0.96296,1.0,0.96296,1.0,L,L,L,
303,1.443,rayleigh,0.96296,1.0,0.96296,1.0,L,L,L,
304,0.824,rayleigh,0.96296,1.0,0.96296,1.0,L,L,L,
305,1.09,awgn,0.88889,1.0,0.88889,1.0,L,L,L,
306,0.708,rayleigh,0.96296,1.0,0.96296,1.0,L,L,L,
307,12.233,rayleigh,0.88889,1.0,0.88889,1.0,L,L,L,
308,12.584,rayleigh,0.96296,1.0,0.96296,1.0,L,L,L,
309,8.553,rayleigh,0.96296,1.0,0.96296,1.0,L,L,L,
310,17.242,awgn,0.96296,1.0,1.0,0.0,L,L,L,
311,12.569,awgn,0.92308,1.0,1.0,0.0,L,L,L,
312,4.084,awgn,0.96,0.96296,0.96,1.0,L,L,L,
313,14.109,rayleigh,0.88,1.0,0.88,1.0,L,L,L,
314,7.087,awgn,0.96,1.0,0.96208,0.94812,L,L,L,
315,5.855,rayleigh,0.96,1.0,0.96,1.0,L,L,L,
316,12.305,rayleigh,0.96,1.0,0.96,1.0,L,L,L,
317,15.151,awgn,0.96,1.0,1.0,0.0,L,L,L,
318,19.658,awgn,0.88,1.0,1.0,0.0,L,L,L,
319,9.073,awgn,0.88,0.92308,0.94749,0.18649,F,F,L,
320,7.435,rayleigh,0.96,1.0,0.96,1.0,L,L,L,
321,17.084,awgn,0.96,1.0,1.0,0.0,L,L,L,
322,8.624,rayleigh,0.96,1.0,0.96,1.0,L,L,L,
323,0.437,awgn,0.88,1.0,0.88,1.0,L,L,L,
324,18.856,rayleigh,0.96,1.0,0.96,1.0,L,L,L,
325,16.484,awgn,0.96,1.0,0.92308,0.0,L,L,L,
326,3.793,awgn,0.96,1.0,0.96,1.0,L,L,L,
327,13.575,rayleigh,0.96,1.0,0.96,1.0,L,L,L,
328,1.225,rayleigh,0.96,1.0,0.96,1.0,L,L,L,
329,1.211,awgn,0.96,1.0,0.96,1.0,L,L,L,
330,4.946,rayleigh,0.95652,1.0,0.95652,1.0,L,L,L,
331,17.869,rayleigh,0.95652,1.0,0.95652,1.0,L,L,L,
332,3.251,rayleigh,0.95652,1.0,0.95652,1.0,L,L,L,
333,2.194,awgn,0.86957,0.91667,0.86957,1.0,L,L,L,
334,1.371,rayleigh,0.86957,1.0,0.86957,1.0,L,L,L,
335,4.012,awgn,0.95652,1.0,0.95652,1.0,L,L,L,
336,5.943,awgn,0.90909,1.0,0.90909,1.0,L,L,L,
337,13.485,awgn,0.95652,1.0,1.0,0.0,L,L,L,
338,1.826,awgn,0.90909,1.0,0.90909,1.0,L,L,L,
339,3.545,awgn,0.90909,1.0,0.90909,1.0,L,L,L,
340,2.72,awgn,0.90909,1.0,0.90909,1.0,L,L,L,
341,6.66,awgn,0.95652,1.0,0.95652,1.0,L,L,L,
342,15.607,rayleigh,0.95652,1.0,0.95652,1.0,L,L,L,
343,8.118,awgn,0.86957,1.0,0.9506,0.37876,L,L,L,
344,15.257,rayleigh,0.95652,1.0,0.95652,1.0,L,L,L,
345,2.86,awgn,0.95652,1.0,0.95652,1.0,L,L,L,
346,11.031,rayleigh,0.95652,1.0,0.95652,1.0,L,L,L,
347,4.733,rayleigh,0.86957,0.91667,0.86957,1.0,L,L,L,
348,0.674,awgn,0.95652,1.0,0.95652,1.0,L,L,L,
349,2.26,awgn,0.95652,1.0,0.95652,1.0,L,L,L,
350,3.045,rayleigh,0.95652,1.0,0.95652,1.0,L,L,L,
351,8.926,rayleigh,0.90909,0.95652,0.90909,1.0,L,L,L,
352,13.216,awgn,0.90909,0.95652,1.0,0.0,F,F,L,
353,10.075,rayleigh,0.95652,1.0,0.95652,1.0,L,L,L,
354,13.207,awgn,0.95652,1.0,1.0,0.0,L,L,L,
355,10.973,rayleigh,0.95652,1.0,0.95652,1.0,L,L,L,
356,11.916,awgn,0.95652,1.0,1.0,0.0,L,L,L,
357,11.738,rayleigh,0.95652,1.0,0.95652,1.0,L,L,L,
358,9.422,awgn,0.95652,1.0,0.99495,0.11623,L,L,L,
359,14.907,rayleigh,0.95652,1.0,0.95652,1.0,L,L,L,
360,2.421,rayleigh,0.95652,1.0,0.95652,1.0,L,L,L,
361,14.632,awgn,0.90909,0.95652,1.0,0.0,F,F,L,
362,10.154,awgn,0.95652,1.0,1.0,0.0,L,L,L,
363,10.862,rayleigh,0.91667,1.0,0.91667,1.0,L,L,L,
364,11.01,rayleigh,0.91667,0.96,0.91667,1.0,L,L,L,
365,6.026,rayleigh,0.96,1.0,0.96,1.0,L,L,L,
366,11.638,rayleigh,0.96,1.0,0.96,1.0,L,L,L,
367,13.97,awgn,0.96,1.0,1.0,0.0,L,L,L,
368,8.735,awgn,0.92308,0.96296,0.98043,0.25446,F,L,L,
369,19.287,rayleigh,0.95652,1.0,0.95652,1.0,L,L,L,
370,4.101,rayleigh,0.95652,1.0,0.95652,1.0,L,L,L,
371,17.083,rayleigh,0.95652,1.0,0.95652,1.0,L,L,L,
372,5.78,rayleigh,0.95652,1.0,0.95652,1.0,L,L,L,
373,10.019,rayleigh,0.95652,1.0,0.95652,1.0,L,L,L,
374,19.592,awgn,0.91667,0.96,1.0,0.0,F,F,L,
375,6.23,awgn,0.96,1.0,0.96,1.0,L,L,L,
376,16.639,awgn,0.96,1.0,0.96,0.0,L,L,L,
377,8.471,awgn,0.96,1.0,0.96,0.30762,L,L,L,
378,0.916,awgn,0.86957,0.96,0.86957,1.0,L,L,L,
379,11.725,awgn,0.96,1.0,0.96,0.0,L,L,L,
380,16.841,awgn,0.88,0.88,0.96,0.0,F,F,F,
381,16.546,awgn,0.96,0.96,0.96,0.0,E,E,E,tie
