frame,snr_db,channel,eff_E,eff_L,eff_F,bler_F,raw_oracle,budget_oracle,rf,e_class
32,15.393,rayleigh,0.97872,1.0,0.97872,1.0,L,L,L,
33,9.931,rayleigh,0.97872,1.0,0.97872,1.0,L,L,L,
34,7.236,rayleigh,0.97872,1.0,0.97872,1.0,L,L,L,
35,8.109,rayleigh,0.91304,0.95833,0.91304,1.0,L,L,L,
36,12.942,awgn,0.93333,0.97872,1.0,0.0,F,L,L,
37,1.894,rayleigh,0.95455,1.0,0.95455,1.0,L,L,L,
38,17.944,rayleigh,0.95455,1.0,0.95455,1.0,L,L,L,
39,6.365,rayleigh,0.93333,1.0,0.93333,1.0,L,L,L,
40,10.782,awgn,0.93333,1.0,0.97778,0.0,L,L,L,
41,19.048,rayleigh,0.97778,1.0,0.97778,1.0,L,L,L,
42,4.944,awgn,0.97778,1.0,0.97778,1.0,L,L,L,
43,8.838,awgn,0.97778,1.0,0.99481,0.23372,L,L,L,
44,16.09,awgn,0.93333,1.0,1.0,0.0,L,L,L,
45,19.307,awgn,0.93333,1.0,0.97778,0.0,L,L,L,
46,7.361,rayleigh,0.93333,1.0,0.93333,1.0,L,L,L,
47,16.782,rayleigh,0.90909,1.0,0.90909,1.0,L,L,L,
48,2.866,awgn,0.90476,0.97778,0.90476,1.0,L,L,L,
49,19.8,rayleigh,0.93023,1.0,0.93023,1.0,L,L,L,
50,12.411,rayleigh,0.93023,0.97778,0.93023,1.0,L,L,L,
51,1.647,rayleigh,0.93023,0.97778,0.93023,1.0,L,L,L,
52,18.183,rayleigh,0.88372,0.93333,0.88372,1.0,L,L,L,
53,12.899,rayleigh,0.88372,0.95455,0.88372,1.0,L,L,L,
54,3.701,rayleigh,0.95455,0.97778,0.95455,1.0,L,L,L,
55,9.794,awgn,0.95455,0.93333,0.99812,0.04142,F,E,L,strict
56,0.525,awgn,0.95455,0.97778,0.95455,1.0,L,L,L,
57,8.089,awgn,0.93023,0.97778,0.97318,0.38442,L,L,L,
58,3.953,awgn,0.95455,0.97778,0.95455,1.0,L,L,L,
59,7.096,awgn,0.93023,0.97778,0.93425,0.94248,L,L,L,
60,6.032,awgn,0.93023,0.97778,0.93023,1.0,L,L,L,
61,18.826,awgn,0.93023,0.97778,1.0,0.0,F,L,L,
62,6.703,awgn,0.87805,0.95455,0.87805,1.0,L,L,L,
63,13.568,rayleigh,0.85,0.97674,0.85,1.0,L,L,L,
64,12.96,awgn,0.9,0.97674,1.0,0.0,F,L,L,
65,12.502,rayleigh,0.9,0.97674,0.9,1.0,L,L,L,
66,3.783,awgn,0.87179,0.95238,0.87179,1.0,L,L,L,
67,17.952,rayleigh,0.87179,0.95238,0.87179,1.0,L,L,L,
68,9.568,rayleigh,0.9,0.95238,0.9,1.0,L,L,L,
69,18.76,rayleigh,0.89474,0.95,0.89474,1.0,L,L,L,
70,10.698,rayleigh,0.89474,0.95,0.89474,1.0,L,L,L,
71,10.077,rayleigh,0.89474,0.95,0.89474,1.0,L,L,L,
72,4.614,rayleigh,0.86486,0.95,0.86486,1.0,L,L,L,
73,8.13,awgn,0.89474,0.95,0.96039,0.37626,F,L,L,
74,0.954,rayleigh,0.89474,0.95,0.89474,1.0,L,L,L,
75,17.719,awgn,0.89474,0.95,0.97561,0.0,F,L,L,
76,10.909,rayleigh,0.84211,0.95,0.84211,1.0,L,L,L,
77,11.985,rayleigh,0.84211,0.95,0.84211,1.0,L,L,L,
78,6.352,rayleigh,0.86486,0.95,0.86486,1.0,L,L,L,
79,8.777,awgn,0.84211,0.95,0.92346,0.24598,L,L,L,
80,6.58,rayleigh,0.84211,0.95,0.84211,1.0,L,L,L,
81,7.065,rayleigh,0.86486,0.95,0.86486,1.0,L,L,L,
82,0.683,awgn,0.84211,0.95,0.84211,1.0,L,L,L,
83,3.798,awgn,0.81081,0.95,0.81081,1.0,L,L,L,
84,18.006,rayleigh,0.81081,0.95,0.81081,1.0,L,L,L,
85,6.814,rayleigh,0.81081,0.95,0.81081,1.0,L,L,L,
86,3.156,awgn,0.82353,0.94737,0.82353,1.0,L,L,L,
87,19.224,rayleigh,0.82353,0.94737,0.82353,1.0,L,L,L,
88,6.212,awgn,0.82353,0.94737,0.82353,1.0,L,L,L,
89,4.862,awgn,0.85714,0.94737,0.85714,1.0,L,L,L,
90,14.775,rayleigh,0.7619,0.91304,0.7619,1.0,L,L,L,
91,15.001,awgn,0.80952,0.95652,0.91304,0.0,L,L,L,
92,4.399,awgn,0.78049,0.90909,0.78049,1.0,L,L,L,
93,6.782,awgn,0.73171,0.86364,0.73171,1.0,L,L,L,
94,1.888,awgn,0.72727,0.89796,0.72727,1.0,L,L,L,
95,6.341,awgn,0.7619,0.86957,0.7619,1.0,L,L,L,
96,15.321,rayleigh,0.68293,0.82609,0.68293,1.0,L,L,L,
97,4.684,awgn,0.69388,0.91525,0.69388,1.0,L,L,L,
98,5.62,awgn,0.69697,0.925,0.69697,1.0,L,L,L,
99,14.626,rayleigh,0.76056,0.84211,0.76056,1.0,L,L,L,
100,2.051,rayleigh,0.79452,0.875,0.79452,1.0,L,L,L,
101,11.96,rayleigh,0.79452,0.91358,0.79452,1.0,L,L,L,
102,19.166,rayleigh,0.76712,0.86076,0.76712,1.0,L,L,L,
103,6.76,rayleigh,0.79452,0.91358,0.79452,1.0,L,L,L,
104,15.451,rayleigh,0.76712,0.875,0.76712,1.0,L,L,L,
105,5.524,rayleigh,0.78378,0.875,0.78378,1.0,L,L,L,
106,15.453,rayleigh,0.77778,0.875,0.77778,1.0,L,L,L,
107,18.185,rayleigh,0.76712,0.85,0.76712,1.0,L,L,L,
108,11.042,awgn,0.8,0.89474,0.95,0.0,F,F,L,
109,3.939,awgn,0.83784,0.88608,0.83784,1.0,L,L,L,
110,16.997,awgn,0.8169,0.88312,0.95,0.0,F,F,L,
111,18.192,rayleigh,0.79452,0.88312,0.79452,1.0,L,L,L,
112,6.295,awgn,0.77778,0.86842,0.77778,1.0,L,L,L,
113,7.498,awgn,0.80556,0.89744,0.84506,0.70235,L,L,L,
114,2.316,rayleigh,0.78873,0.84615,0.78873,1.0,L,L,L,
115,8.416,rayleigh,0.82192,0.91139,0.82192,1.0,L,L,L,
116,19.833,awgn,0.82192,0.89744,0.96386,0.0,F,F,L,
117,19.211,rayleigh,0.83784,0.91139,0.83784,1.0,L,L,L,
118,16.006,awgn,0.79452,0.88312,0.96386,0.0,F,F,L,
119,14.21,rayleigh,0.83784,0.88312,0.83784,1.0,L,L,L,
120,0.16,awgn,0.83784,0.88312,0.83784,1.0,L,L,L,
121,11.89,rayleigh,0.81081,0.87179,0.81081,1.0,L,L,L,
122,5.285,rayleigh,0.82667,0.89744,0.82667,1.0,L,L,L,
123,4.583,awgn,0.8,0.89744,0.8,1.0,L,L,L,
124,1.517,rayleigh,0.80556,0.86842,0.80556,1.0,L,L,L,
125,3.858,awgn,0.85714,0.88608,0.85714,1.0,L,L,L,
126,18.446,rayleigh,0.74667,0.84615,0.74667,1.0,L,L,L,
127,14.093,awgn,0.82667,0.85714,0.93827,0.0,F,F,L,
128,19.436,awgn,0.83117,0.87179,0.90244,0.0,F,L,L,
129,9.656,awgn,0.81579,0.87179,0.90682,0.06915,F,L,L,
130,5.138,rayleigh,0.82667,0.84211,0.82667,1.0,L,L,L,
131,17.658,awgn,0.87179,0.88608,0.93976,0.0,F,F,L,
132,7.711,rayleigh,0.84211,0.87179,0.84211,1.0,L,L,L,
133,12.74,awgn,0.83784,0.86842,0.91358,0.0,F,L,L,
134,11.695,awgn,0.85333,0.88312,0.925,0.0,F,L,L,
135,16.523,rayleigh,0.91139,0.925,0.91139,1.0,L,L,L,
136,4.809,rayleigh,0.88312,0.89744,0.88312,1.0,L,L,L,
137,9.379,awgn,0.84615,0.86076,0.92676,0.12497,F,F,L,
138,14.288,awgn,0.86842,0.88312,0.93827,0.0,F,F,L,
139,1.272,rayleigh,0.83117,0.86076,0.83117,1.0,L,L,L,
140,1.993,awgn,0.86842,0.88312,0.86842,1.0,L,L,L,
141,15.848,awgn,0.89744,0.91139,0.91139,0.0,L,L,L,
142,17.949,awgn,0.89474,0.90909,0.92308,0.0,F,L,L,
143,3.531,awgn,0.83784,0.85333,0.83784,1.0,L,L,L,
144,12.147,awgn,0.84932,0.86486,0.90909,0.0,F,L,L,
145,14.918,rayleigh,0.84932,0.86486,0.84932,1.0,L,L,L,
146,19.059,rayleigh,0.89474,0.90909,0.89474,1.0,L,L,L,
147,0.203,awgn,0.88,0.89474,0.88,1.0,L,L,L,
148,18.392,rayleigh,0.85333,0.86842,0.85333,1.0,L,L,L,
149,18.387,awgn,0.88,0.89474,0.89474,0.0,L,L,L,
150,4.517,rayleigh,0.89474,0.90909,0.89474,1.0,L,L,L,
151,0.374,awgn,0.88,0.89474,0.88,1.0,L,L,L,
152,12.43,awgn,0.89474,0.90909,0.88312,0.0,L,L,L,
153,1.031,rayleigh,0.84932,0.86486,0.84932,1.0,L,L,L,
154,5.621,rayleigh,0.84932,0.88,0.84932,1.0,L,L,L,
155,4.479,rayleigh,0.78873,0.82192,0.78873,1.0,L,L,L,
156,3.791,awgn,0.8,0.84932,0.8,1.0,L,L,L,
157,5.375,rayleigh,0.80556,0.86486,0.80556,1.0,L,L,L,
158,10.731,rayleigh,0.84507,0.87671,0.84507,1.0,L,L,L,
159,10.428,rayleigh,0.8169,0.86111,0.8169,1.0,L,L,L,
160,4.351,rayleigh,0.78873,0.80556,0.78873,1.0,L,L,L,
161,7.88,awgn,0.85294,0.86957,0.89425,0.47422,F,L,L,
162,12.055,awgn,0.85294,0.86957,0.91667,0.0,F,L,L,
163,11.633,awgn,0.85294,0.86957,0.94595,0.0,F,F,L,
164,2.043,awgn,0.85294,0.86957,0.85294,1.0,L,L,L,
165,13.843,rayleigh,0.85294,0.86957,0.85294,1.0,L,L,L,
166,8.156,awgn,0.84058,0.85714,0.88985,0.37108,F,L,L,
167,1.19,rayleigh,0.84058,0.85714,0.84058,1.0,L,L,L,
168,10.639,awgn,0.84058,0.85714,0.93151,0.0,F,F,L,
169,4.097,awgn,0.78261,0.8,0.78261,1.0,L,L,L,
170,4.79,rayleigh,0.76471,0.81159,0.76471,1.0,L,L,L,
171,3.147,awgn,0.86957,0.88571,0.86957,1.0,L,L,L,
172,9.617,awgn,0.86957,0.88571,0.86176,0.077,L,L,L,
173,3.606,awgn,0.81159,0.82857,0.81159,1.0,L,L,L,
174,13.981,awgn,0.86567,0.88235,0.91667,0.0,F,L,L,
175,6.465,awgn,0.84848,0.86567,0.84848,1.0,L,L,L,
176,3.938,rayleigh,0.84375,0.86154,0.84375,1.0,L,L,L,
177,14.864,rayleigh,0.84375,0.86154,0.84375,1.0,L,L,L,
178,8.918,awgn,0.875,0.89231,0.90376,0.21767,F,L,L,
179,15.723,rayleigh,0.84375,0.86154,0.84375,1.0,L,L,L,
180,5.605,awgn,0.8125,0.84848,0.8125,1.0,L,L,L,
181,9.927,awgn,0.8,0.80597,0.94076,0.01467,F,F,L,
182,4.539,awgn,0.79365,0.81818,0.79365,1.0,L,L,L,
183,9.156,rayleigh,0.76923,0.80597,0.76923,1.0,L,L,L,
184,7.328,awgn,0.75758,0.85294,0.79682,0.80396,L,L,L,
185,2.939,rayleigh,0.78125,0.83077,0.78125,1.0,L,L,L,
186,7.478,awgn,0.84375,0.84848,0.86389,0.71451,F,L,L,
187,2.964,rayleigh,0.78125,0.81818,0.78125,1.0,L,L,L,
188,19.127,rayleigh,0.80645,0.90625,0.80645,1.0,L,L,L,
189,10.05,awgn,0.83871,0.90909,0.95652,0.0,F,L,L,
190,3.658,rayleigh,0.85246,0.88889,0.85246,1.0,L,L,L,
191,17.902,awgn,0.8,0.88889,0.94118,0.0,F,F,L,
192,9.421,awgn,0.8254,0.89231,0.94124,0.11654,F,F,L,
193,6.804,awgn,0.85246,0.90625,0.85246,1.0,L,L,L,
194,14.557,awgn,0.85246,0.88889,0.95522,0.0,F,F,L,
195,5.714,rayleigh,0.78689,0.875,0.78689,1.0,L,L,L,
196,14.667,rayleigh,0.85714,0.90625,0.85714,1.0,L,L,L,
197,2.299,rayleigh,0.85246,0.92063,0.85246,1.0,L,L,L,
198,14.486,rayleigh,0.85246,0.9375,0.85246,1.0,L,L,L,
199,6.221,rayleigh,0.81967,0.92063,0.81967,1.0,L,L,L,
200,13.162,rayleigh,0.77966,0.88889,0.77966,1.0,L,L,L,
201,13.245,awgn,0.82759,0.92063,0.96875,0.0,F,L,L,
202,8.581,rayleigh,0.80702,0.93548,0.80702,1.0,L,L,L,
203,9.527,awgn,0.86207,0.92063,0.95945,0.09522,F,L,L,
204,19.666,awgn,0.80702,0.91803,0.9697,0.0,F,F,L,
205,2.364,awgn,0.80702,0.9,0.80702,1.0,L,L,L,
206,17.695,awgn,0.77193,0.9,0.93939,0.0,F,L,L,
207,13.487,rayleigh,0.78571,0.88136,0.78571,1.0,L,L,L,
208,13.399,awgn,0.72222,0.85,0.81481,0.0,L,L,L,
209,9.324,rayleigh,0.65625,0.78873,0.65625,1.0,L,L,L,
210,7.124,awgn,0.69091,0.8254,0.6981,0.92585,L,L,L,
211,16.369,rayleigh,0.58974,0.72941,0.58974,1.0,L,L,L,
212,17.371,awgn,0.76404,0.85106,0.86316,0.0,F,L,L,
213,19.284,rayleigh,0.78723,0.83673,0.78723,1.0,L,L,L,
214,19.62,awgn,0.82105,0.9,0.83168,0.0,L,L,L,
215,2.631,awgn,0.83333,0.91262,0.83333,1.0,L,L,L,
216,10.106,awgn,0.83333,0.92308,0.90196,0.0,L,L,L,
217,11.354,rayleigh,0.80412,0.8932,0.80412,1.0,L,L,L,
218,19.327,awgn,0.79167,0.86275,0.92453,0.0,F,F,L,
219,7.17,rayleigh,0.85106,0.92,0.85106,1.0,L,L,L,
220,2.277,awgn,0.71154,0.92562,0.71154,1.0,L,L,L,
221,3.797,rayleigh,0.73077,0.95082,0.73077,1.0,L,L,L,
222,12.274,awgn,0.71154,0.93548,0.94215,0.0,F,L,L,
223,19.587,rayleigh,0.73786,0.95082,0.73786,1.0,L,L,L,
224,18.603,awgn,0.7451,0.98413,0.95082,0.0,L,L,L,
225,17.391,rayleigh,0.73786,0.97638,0.73786,1.0,L,L,L,
226,2.954,rayleigh,0.7451,0.98413,0.7451,1.0,L,L,L,
227,2.334,rayleigh,0.69565,0.94118,0.69565,1.0,L,L,L,
228,4.532,rayleigh,0.67742,0.86111,0.67742,1.0,L,L,L,
229,15.096,rayleigh,0.68493,0.92308,0.68493,1.0,L,L,L,
230,8.791,awgn,0.73913,0.95575,0.8729,0.24319,L,L,L,
231,7.307,awgn,0.60465,0.93805,0.65754,0.81648,L,L,L,
232,9.217,awgn,0.63529,0.88679,0.81491,0.15747,L,L,L,
233,0.852,rayleigh,0.65957,0.9322,0.65957,1.0,L,L,L,
234,7.582,rayleigh,0.71845,0.92683,0.71845,1.0,L,L,L,
235,17.315,awgn,0.72381,0.94309,0.95238,0.0,F,L,L,
236,19.645,awgn,0.7963,0.96774,0.96875,0.0,F,L,L,
237,3.785,awgn,0.78505,0.96825,0.78505,1.0,L,L,L,
238,4.964,rayleigh,0.74286,0.93548,0.74286,1.0,L,L,L,
239,6.914,rayleigh,0.72381,0.912,0.72381,1.0,L,L,L,
240,16.639,rayleigh,0.74286,0.93443,0.74286,1.0,L,L,L,
241,3.269,awgn,0.7619,0.91057,0.7619,1.0,L,L,L,
242,7.187,awgn,0.78095,0.91667,0.79796,0.88836,L,L,L,
243,17.871,awgn,0.76923,0.95935,0.95798,0.0,L,L,L,
244,3.554,awgn,0.7619,0.944,0.7619,1.0,L,L,L,
245,3.771,rayleigh,0.73786,0.95161,0.73786,1.0,L,L,L,
246,16.847,rayleigh,0.72549,0.93548,0.72549,1.0,L,L,L,
247,0.255,rayleigh,0.75728,0.95868,0.75728,1.0,L,L,L,
248,0.05,awgn,0.72381,0.912,0.72381,1.0,L,L,L,
249,2.08,rayleigh,0.73786,0.91803,0.73786,1.0,L,L,L,
250,13.433,awgn,0.73077,0.93548,0.90756,0.0,L,L,L,
251,16.573,awgn,0.73786,0.93651,0.91057,0.0,L,L,L,
252,10.933,awgn,0.73077,0.91803,0.90756,0.0,L,L,L,
253,18.754,awgn,0.68627,0.90909,0.85217,0.0,L,L,L,
254,6.7,rayleigh,0.66667,0.92437,0.66667,1.0,L,L,L,
255,10.38,awgn,0.67347,0.93333,0.91525,0.0,L,L,L,
256,18.043,awgn,0.66667,0.90164,0.89256,0.0,L,L,L,
257,19.33,rayleigh,0.70707,0.87931,0.70707,1.0,L,L,L,
258,3.008,rayleigh,0.625,0.91379,0.625,1.0,L,L,L,
259,15.407,rayleigh,0.71845,0.94309,0.71845,1.0,L,L,L,
260,0.86,rayleigh,0.70833,0.93333,0.70833,1.0,L,L,L,
261,17.752,awgn,0.71429,0.93333,0.94309,0.0,F,L,L,
262,19.87,awgn,0.73469,0.95,0.95798,0.0,F,L,L,
263,6.952,rayleigh,0.78788,0.95726,0.78788,1.0,L,L,L,
264,4.356,rayleigh,0.71579,0.96552,0.71579,1.0,L,L,L,
265,10.844,rayleigh,0.75,0.94737,0.75,1.0,L,L,L,
266,10.019,rayleigh,0.71579,0.94828,0.71579,1.0,L,L,L,
267,7.392,awgn,0.75,0.96552,0.80043,0.76601,L,L,L,
268,2.249,awgn,0.68132,0.97391,0.68132,1.0,L,L,L,
269,5.38,awgn,0.75,0.97436,0.75,1.0,L,L,L,
270,15.644,awgn,0.72527,0.96429,0.98276,0.0,F,L,L,
271,13.57,rayleigh,0.73913,0.93694,0.73913,1.0,L,L,L,
272,10.176,rayleigh,0.76923,0.94444,0.76923,1.0,L,L,L,
273,6.724,rayleigh,0.74157,0.94444,0.74157,1.0,L,L,L,
274,6.726,rayleigh,0.74157,0.92453,0.74157,1.0,L,L,L,
275,17.235,rayleigh,0.69048,0.92308,0.69048,1.0,L,L,L,
276,19.784,rayleigh,0.69767,0.90566,0.69767,1.0,L,L,L,
277,4.407,rayleigh,0.68235,0.93458,0.68235,1.0,L,L,L,
278,9.349,awgn,0.69048,0.93333,0.91807,0.13101,L,L,L,
279,8.134,awgn,0.69048,0.94231,0.86023,0.37541,L,L,L,
280,7.874,rayleigh,0.68966,0.9434,0.68966,1.0,L,L,L,
281,6.16,rayleigh,0.70588,0.9434,0.70588,1.0,L,L,L,
282,1.097,awgn,0.72941,0.94231,0.72941,1.0,L,L,L,
283,5.856,awgn,0.77273,0.94231,0.77273,1.0,L,L,L,
284,18.879,rayleigh,0.73563,0.93204,0.73563,1.0,L,L,L,
285,6.9,rayleigh,0.75294,0.96078,0.75294,1.0,L,L,L,
286,4.455,rayleigh,0.72289,0.92929,0.72289,1.0,L,L,L,
287,7.473,awgn,0.71605,0.91837,0.78788,0.71747,L,L,L,
288,1.289,awgn,0.69136,0.92929,0.69136,1.0,L,L,L,
289,8.694,awgn,0.70588,0.91089,0.88695,0.26268,L,L,L,
290,9.408,awgn,0.74699,0.92,0.95261,0.11902,F,L,L,
291,18.132,awgn,0.69136,0.86316,0.95146,0.0,F,F,L,
292,14.645,rayleigh,0.74699,0.86022,0.74699,1.0,L,L,L,
293,13.058,awgn,0.65,0.88172,0.94949,0.0,F,F,L,
294,18.164,awgn,0.71605,0.89362,0.9697,0.0,F,F,L,
295,3.124,awgn,0.675,0.86957,0.675,1.0,L,L,L,
296,18.055,rayleigh,0.70732,0.89362,0.70732,1.0,L,L,L,
297,0.302,rayleigh,0.72289,0.87234,0.72289,1.0,L,L,L,
298,15.308,rayleigh,0.71429,0.90909,0.71429,1.0,L,L,L,
299,18.127,awgn,0.71429,0.91089,0.96078,0.0,F,F,L,
300,15.395,rayleigh,0.72093,0.92157,0.72093,1.0,L,L,L,
301,10.383,rayleigh,0.70732,0.92,0.70732,1.0,L,L,L,
302,15.511,awgn,0.71429,0.92929,0.97087,0.0,F,L,L,
303,1.443,awgn,0.71429,0.92929,0.71429,1.0,L,L,L,
304,0.824,rayleigh,0.68293,0.90909,0.68293,1.0,L,L,L,
305,1.09,rayleigh,0.72289,0.89796,0.72289,1.0,L,L,L,
306,0.708,rayleigh,0.6988,0.91837,0.6988,1.0,L,L,L,
307,12.233,awgn,0.70732,0.89796,0.92929,0.0,F,L,L,
308,12.584,awgn,0.68293,0.8866,0.9505,0.0,F,F,L,
309,8.553,awgn,0.72289,0.85106,0.88352,0.29114,F,L,L,
310,17.242,awgn,0.73171,0.86316,0.92784,0.0,F,F,L,
311,12.569,rayleigh,0.675,0.86022,0.675,1.0,L,L,L,
312,4.084,awgn,0.7,0.87912,0.7,1.0,L,L,L,
313,14.109,awgn,0.675,0.87912,0.90526,0.0,F,L,L,
314,7.087,awgn,0.725,0.84444,0.73485,0.94812,L,L,L,
315,5.855,awgn,0.71605,0.88172,0.71605,1.0,L,L,L,
316,12.305,rayleigh,0.70732,0.88172,0.70732,1.0,L,L,L,
317,15.151,rayleigh,0.74074,0.85714,0.74074,1.0,L,L,L,
318,19.658,rayleigh,0.74074,0.9011,0.74074,1.0,L,L,L,
319,9.073,awgn,0.725,0.9011,0.88748,0.18649,L,L,L,
320,7.435,awgn,0.725,0.8913,0.78052,0.74031,L,L,L,
321,17.084,rayleigh,0.68354,0.84444,0.68354,1.0,L,L,L,
322,8.624,rayleigh,0.69136,0.87912,0.69136,1.0,L,L,L,
323,0.437,awgn,0.725,0.84444,0.725,1.0,L,L,L,
324,18.856,rayleigh,0.71795,0.86364,0.71795,1.0,L,L,L,
325,16.484,rayleigh,0.69231,0.85393,0.69231,1.0,L,L,L,
326,3.793,rayleigh,0.71795,0.86364,0.71795,1.0,L,L,L,
327,13.575,rayleigh,0.71795,0.85393,0.71795,1.0,L,L,L,
328,1.225,rayleigh,0.71795,0.86364,0.71795,1.0,L,L,L,
329,1.211,rayleigh,0.72727,0.87356,0.72727,1.0,L,L,L,
330,4.946,awgn,0.72727,0.87356,0.72727,1.0,L,L,L,
331,17.869,awgn,0.71053,0.83721,0.89888,0.0,F,F,F,
332,3.251,rayleigh,0.72727,0.86047,0.72727,1.0,L,L,L,
333,2.194,awgn,0.71053,0.87356,0.71053,1.0,L,L,L,
334,1.371,rayleigh,0.7013,0.85057,0.7013,1.0,L,L,L,
335,4.012,rayleigh,0.68421,0.85393,0.68421,1.0,L,L,L,
336,5.943,rayleigh,0.66667,0.80899,0.66667,1.0,L,L,L,
337,13.485,rayleigh,0.65823,0.82759,0.65823,1.0,L,L,L,
338,1.826,awgn,0.65789,0.83721,0.65789,1.0,L,L,L,
339,3.545,rayleigh,0.66667,0.80488,0.66667,1.0,L,L,L,
340,2.72,rayleigh,0.7027,0.81013,0.7027,1.0,L,L,L,
341,6.66,rayleigh,0.66667,0.82051,0.66667,1.0,L,L,L,
342,15.607,awgn,0.70423,0.84615,0.88889,0.0,F,L,L,
343,8.118,rayleigh,0.67925,0.77193,0.67925,1.0,L,L,L,
344,15.257,rayleigh,0.65455,0.74576,0.65455,1.0,L,L,L,
345,2.86,rayleigh,0.75472,0.84211,0.75472,1.0,L,L,L,
346,11.031,awgn,0.66667,0.75,0.95238,0.0,F,F,L,
347,4.733,awgn,0.69231,0.82759,0.69231,1.0,L,L,L,
348,0.674,rayleigh,0.65385,0.81967,0.65385,1.0,L,L,L,
349,2.26,awgn,0.71698,0.81356,0.71698,1.0,L,L,L,
350,3.045,awgn,0.70588,0.86207,0.70588,1.0,L,L,L,
351,8.926,awgn,0.7451,0.9,0.89591,0.21616,L,L,L,
352,13.216,rayleigh,0.69231,0.8,0.69231,1.0,L,L,L,
353,10.075,rayleigh,0.67925,0.8254,0.67925,1.0,L,L,L,
354,13.207,awgn,0.7037,0.88889,0.93939,0.0,F,F,L,
355,10.973,rayleigh,0.71698,0.90323,0.71698,1.0,L,L,L,
356,11.916,rayleigh,0.70175,0.87879,0.70175,1.0,L,L,L,
357,11.738,rayleigh,0.65455,0.81818,0.65455,1.0,L,L,L,
358,9.422,awgn,0.70175,0.89552,0.91483,0.11623,F,L,L,
359,14.907,rayleigh,0.67857,0.87879,0.67857,1.0,L,L,L,
360,2.421,rayleigh,0.67857,0.83582,0.67857,1.0,L,L,L,
361,14.632,awgn,0.67857,0.83582,0.97222,0.0,F,F,L,
362,10.154,rayleigh,0.63333,0.8,0.63333,1.0,L,L,L,
363,10.862,awgn,0.60317,0.75,0.93827,0.0,F,F,L,
364,11.01,awgn,0.61538,0.72,0.95349,0.0,F,F,L,
365,6.026,awgn,0.625,0.78378,0.625,1.0,L,L,L,
366,11.638,awgn,0.61538,0.76316,0.94118,0.0,F,F,L,
367,13.97,rayleigh,0.60606,0.75325,0.60606,1.0,L,L,L,
368,8.735,rayleigh,0.61538,0.77922,0.61538,1.0,L,L,L,
369,19.287,awgn,0.64615,0.81579,0.93976,0.0,F,F,L,
370,4.101,rayleigh,0.60606,0.80519,0.60606,1.0,L,L,L,
371,17.083,rayleigh,0.5625,0.79487,0.5625,1.0,L,L,L,
372,5.78,rayleigh,0.53968,0.78947,0.53968,1.0,L,L,L,
373,10.019,awgn,0.53968,0.78947,0.96629,0.0,F,F,L,
374,19.592,awgn,0.53125,0.76923,0.93333,0.0,F,F,L,
375,6.23,awgn,0.59701,0.78481,0.59701,1.0,L,L,L,
376,16.639,rayleigh,0.55882,0.775,0.55882,1.0,L,L,L,
